        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       22.70               5.016308              40036              849.610875           383.720863           465.890011     
       22.80               5.016308              40070              860.215359           383.540341           476.675017     
       22.90               5.016308              40026              779.086570           316.470687           462.615883     
       23.00               5.016308              40042              811.442280           437.525898           373.916382     
       23.10               5.016308              39998              703.277544           353.583817           349.693727     
       23.20               5.016308              40023              687.045345           301.150706           385.894640     
       23.30               5.016308              39913              657.795517           192.926251           464.869266     
       23.40               5.016308              39770              675.785096           267.356352           408.428743     
       23.50               5.016308              39652              628.498646           245.721255           382.777392     
       23.60               5.016308              39562              720.830343           315.378118           405.452224     
       23.70               5.016308              39487              681.428465           369.400786           312.027679     
       23.80               5.016308              39543              618.087147           364.751197           253.335949     
       23.90               5.016308              39467              608.844162           301.381555           307.462606     
       24.00               5.016308              39460              708.639947           339.973507           368.666440     
       24.10               5.016308              39358              755.902029           363.907818           391.994211     
       24.20               5.016308              39437              786.005796           400.379475           385.626321     
       24.30               5.016308              39373              821.405088           421.595765           399.809323     
       24.40               5.016308              39368              849.539752           413.592720           435.947032     
       24.50               5.016308              39304              874.494615           416.122160           458.372455     
       24.60               5.016308              39270              855.310312           346.223087           509.087225     
       24.70               5.016308              39326              857.610070           373.863341           483.746729     
       24.80               5.016308              39320              829.127712           379.007381           450.120332     
       24.90               5.016308              39328              759.178960           417.473617           341.705343     
       25.00               5.016308              39351              702.184491           497.250695           204.933796     
       25.10               5.016308              39449              700.913051           470.632910           230.280140     
       25.20               5.016308              39549              680.998574           369.593072           311.405502     
       25.30               5.016308              39536              697.084190           408.117029           288.967161     
       25.40               5.016308              39554              742.966840           444.999968           297.966872     
       25.50               5.016308              39526              773.910772           479.681944           294.228828     
       25.60               5.016308              39697              817.467639           452.054769           365.412871     
       25.70               5.016308              39639              708.155525           274.308591           433.846934     
       25.80               5.016308              39628              624.124754           255.492823           368.631931     
       25.90               5.016308              39780              575.510024           316.001657           259.508367     
       26.00               5.016308              39804              731.058652           348.644880           382.413773     
       26.10               5.016308              39884              606.988473           262.969254           344.019219     
       26.20               5.016308              40060              721.604559           288.117026           433.487532     
       26.30               5.016308              40034              927.480688           402.142535           525.338153     
       26.40               5.016308              40111              816.075817           360.248727           455.827090     
       26.50               5.016308              40141              730.084237           310.382043           419.702195     
       26.60               5.016308              40057              666.758549           317.042739           349.715809     
       26.70               5.016308              40033              698.668800           313.964721           384.704079     
       26.80               5.016308              39957              478.542925           175.525791           303.017134     
       26.90               5.016308              39907              440.216154           193.206314           247.009840     
       27.00               5.016308              39948              502.683026           241.845990           260.837036     
       27.10               5.016308              39941              366.960736           228.626668           138.334068     
       27.20               5.016308              40021              459.713824           257.072009           202.641815     
       27.30               5.016308              40079              420.690434           225.106704           195.583730     
       27.40               5.016308              40094              404.389751           198.121507           206.268244     
       27.50               5.016308              40024              546.916195           196.749025           350.167170     
       27.60               5.016308              40053              617.254756           289.590437           327.664319     
       27.70               5.016308              40122              447.783040           209.798195           237.984845     
       27.80               5.016308              40072              545.358039           249.451051           295.906988     
       27.90               5.016308              40074              545.480759           270.655049           274.825711     
       28.00               5.016308              40086              504.807387           185.597918           319.209468     
       28.10               5.016308              40131              558.205115           212.034190           346.170925     
       28.20               5.016308              40113              470.726497           138.705359           332.021139     
       28.30               5.016308              40231              328.447132           106.491001           221.956131     
       28.40               5.016308              40268              567.785512           231.294221           336.491291     
       28.50               5.016308              40098              765.739834           361.811614           403.928220     
       28.60               5.016308              40069              864.934699           367.912101           497.022598     
       28.70               5.016308              40111              824.691897           312.411635           512.280263     
       28.80               5.016308              39966              773.253110           273.855002           499.398108     
       28.90               5.016308              39853              718.817429           304.751307           414.066122     
       29.00               5.016308              39764              648.667103           287.967918           360.699186     
       29.10               5.016308              39751              624.869354           287.027485           337.841868     
       29.20               5.016308              39787              725.149118           331.082696           394.066422     
       29.30               5.016308              39706              724.215289           300.495066           423.720223     
       29.40               5.016308              39569              885.929456           372.668824           513.260632     
       29.50               5.016308              39610              859.803345           337.550042           522.253303     
       29.60               5.016308              39568              772.499577           288.946265           483.553311     
       29.70               5.016308              39404              742.080566           269.106446           472.974120     
       29.80               5.016308              39497              749.200619           293.413163           455.787456     
       29.90               5.016308              39480              609.741952           312.129356           297.612597     
       30.00               5.016308              39405              593.444834           282.234714           311.210120     
       30.10               5.016308              39440              564.227358           222.553988           341.673370     
       30.20               5.016308              39462              627.690363           258.478356           369.212007     
       30.30               5.016308              39604              612.373370           213.827834           398.545536     
       30.40               5.016308              39710              745.198282           356.586747           388.611535     
       30.50               5.016308              39637              640.393047           316.852737           323.540310     
       30.60               5.016308              39576              658.372597           287.267980           371.104617     
       30.70               5.016308              39548              594.843895           228.856166           365.987729     
       30.80               5.016308              39590              606.778402           273.617711           333.160691     
       30.90               5.016308              39614              635.617286           267.618904           367.998382     
       31.00               5.016308              39535              627.553558           297.342647           330.210910     
       31.10               5.016308              39604              503.905609           234.276994           269.628615     
       31.20               5.016308              39588              626.334307           320.293823           306.040484     
       31.30               5.016308              39605              729.995765           326.505767           403.489999     
       31.40               5.016308              39608              747.979707           296.236595           451.743112     
       31.50               5.016308              39679              775.287819           300.864315           474.423504     
       31.60               5.016308              39641              827.893097           364.068416           463.824680     
       31.70               5.016308              39640              845.623457           320.660232           524.963225     
       31.80               5.016308              39581              984.033743           401.149068           582.884675     
       31.90               5.016308              39588              908.556448           412.057452           496.498996     
       32.00               5.016308              39489              817.347021           418.712956           398.634065     
       32.10               5.016308              39533              766.536203           381.877786           384.658417     
       32.20               5.016308              39367              913.486880           391.591773           521.895107     
       32.30               5.016308              39469              855.582859           358.689065           496.893793     
       32.40               5.016308              39555              841.276870           404.619011           436.657860     
       32.50               5.016308              39507              760.191981           403.334944           356.857037     
       32.60               5.016308              39478              783.555061           434.072445           349.482616     
       32.70               5.016308              39503              815.976516           384.948452           431.028064     
       32.80               5.016308              39554              834.098316           358.322904           475.775412     
       32.90               5.016308              39556              751.675793           375.180011           376.495782     
