        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       26.90               5.016308              26253             1158.885942          1078.649744           80.236197      
       27.00               5.016308              26271             1070.715007          1013.037589           57.677417      
       27.10               5.016308              26084             1131.748372          1043.860199           87.888173      
       27.20               5.016308              26477             1141.451249          1036.848382           104.602867     
       27.30               5.016308              25874             1195.167720          1147.876069           47.291651      
       27.40               5.016308              25784             1311.737214          1242.911707           68.825507      
       27.50               5.016308              25908             1220.022749          1136.329773           83.692976      
       27.60               5.016308              25658             1272.953999          1191.813718           81.140282      
       27.70               5.016308              25964             1225.015382          1159.957145           65.058237      
       27.80               5.016308              25045             1329.712048          1251.436818           78.275230      
       27.90               5.016308              25230             1235.364856          1179.754219           55.610636      
       28.00               5.016308              25304             1285.134957          1248.105117           37.029840      
       28.10               5.016308              25339             1250.182082          1208.840886           41.341196      
       28.20               5.016308              25202             1290.456683          1252.945838           37.510845      
       28.30               5.016308              24940             1255.226829          1235.369204           19.857625      
       28.40               5.016308              25049             1343.921372          1293.819553           50.101819      
       28.50               5.016308              24780             1358.043309          1302.270876           55.772433      
       28.60               5.016308              25054             1333.364779          1278.161998           55.202780      
       28.70               5.016308              24977             1301.393832          1220.472579           80.921253      
       28.80               5.016308              25258             1267.941756          1201.854135           66.087621      
       28.90               5.016308              25153             1265.543840          1185.341668           80.202171      
       29.00               5.016308              25388             1270.500636          1192.365189           78.135448      
       29.10               5.016308              24955             1171.875378          1102.119624           69.755754      
       29.20               5.016308              25207             1132.421693          1094.507578           37.914116      
       29.30               5.016308              25311             1154.428044          1119.073715           35.354330      
       29.40               5.016308              25466             1096.281719          1058.514821           37.766898      
       29.50               5.016308              24990             1204.662726          1159.862755           44.799971      
       29.60               5.016308              24720             1172.396350          1106.492100           65.904249      
       29.70               5.016308              24486             1235.142542          1166.232953           68.909589      
       29.80               5.016308              24520             1310.309521          1202.498013           107.811508     
       29.90               5.016308              24715             1445.323769          1340.112943           105.210827     
       30.00               5.016308              24971             1425.604782          1314.132494           111.472288     
       30.10               5.016308              25021             1215.524495          1098.034374           117.490121     
       30.20               5.016308              25095             1240.960605          1166.291010           74.669594      
       30.30               5.016308              25256             1124.668166          1084.133419           40.534747      
       30.40               5.016308              25481             1063.037244          1032.584205           30.453039      
       30.50               5.016308              25200             1084.700922          1037.559749           47.141173      
       30.60               5.016308              25327             1059.386267           995.296358           64.089909      
       30.70               5.016308              25301             1053.421308           978.625086           74.796222      
       30.80               5.016308              25335             1133.000311          1057.522705           75.477605      
       30.90               5.016308              25684             1220.657798          1150.349808           70.307991      
       31.00               5.016308              25338             1359.023018          1292.112676           66.910341      
       31.10               5.016308              25347             1368.382326          1308.413323           59.969003      
       31.20               5.016308              25057             1387.085045          1306.384467           80.700578      
       31.30               5.016308              24909             1367.567953          1290.313519           77.254434      
       31.40               5.016308              24894             1326.407267          1262.052625           64.354641      
       31.50               5.016308              24843             1357.178302          1300.611589           56.566713      
       31.60               5.016308              24887             1370.944173          1292.767468           78.176704      
       31.70               5.016308              25139             1319.205807          1232.626469           86.579339      
       31.80               5.016308              24951             1433.499234          1275.526480           157.972754     
       31.90               5.016308              25120             1444.269075          1337.902351           106.366723     
       32.00               5.016308              24871             1505.571908          1360.516013           145.055894     
       32.10               5.016308              24874             1463.936780          1326.885376           137.051404     
       32.20               5.016308              25369             1446.760272          1279.624181           167.136090     
       32.30               5.016308              25383             1459.147407          1328.116115           131.031292     
       32.40               5.016308              25552             1538.958600          1473.116886           65.841714      
       32.50               5.016308              25409             1406.986411          1334.809882           72.176529      
       32.60               5.016308              25552             1441.968898          1394.605126           47.363771      
