    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     11.000        49044.535      1586123.238      -1391.291       -1391.291      1577869.111     1580604.884      12690.129      7180048.352      -17071.696      -17071.696     7190514.126     7168209.543        932.0           19916     
     11.100        49148.688      1607902.174      16334.810       16334.810      1588256.795     1614414.295      12592.327      7188370.980      -31065.832      -31065.832     7195612.654     7160925.985        950.1           19763     
     11.200        48419.619      1527939.905       9464.443        9464.443      1545950.269     1546409.530      12573.275      7084666.747      -60040.027      -60040.027     7163030.421     7063808.557        1161.9          20241     
     11.300        48436.131      1550498.593       9163.419        9163.419      1533085.123     1550955.278      12536.440      7130785.444      24140.724       24140.724      7129738.918     7154402.906        1184.5          20225     
     11.400        49128.366      1591176.566       3492.809        3492.809      1596365.835     1597264.010      12699.020      7191244.044      -45531.900      -45531.900     7256554.394     7178367.318        915.1           19886     
     11.500        48478.046      1532814.640      -6830.808       -6830.808      1533595.434     1526374.229      12875.572      7350270.871      -67423.378      -67423.378     7341520.815     7278472.465        1054.9          20387     
     11.600        48505.989      1519301.654       5916.125        5916.125      1536293.910     1533713.907      12743.476      7520914.055      -28020.491      -28020.491     7480339.967     7472606.519        1080.8          20429     
     11.700        49268.083      1597757.939      -1924.077       -1924.077      1600938.653     1597424.219      12787.931      7627548.964      -55431.282      -55431.282     7685298.062     7600992.231        874.6           20002     
     11.800        49169.011      1589254.745      -5764.416       -5764.416      1578853.661     1578289.786      12777.770      7773455.376     -118954.969     -118954.969     7727087.091     7631316.264        876.8           20118     
     11.900        49414.151      1591822.581       4440.113        4440.113      1595018.925     1597860.865      12805.713      7868117.809      -70779.572      -70779.572     7768052.261     7747305.463        830.6           20001     
     12.000        48561.876      1546760.601       8487.399        8487.399      1530314.223     1547024.811      12832.387      7947220.583       6488.287        6488.287      7845165.248     7902681.202        1075.2          20511     
     12.100        48931.492      1525156.104       6518.099        6518.099      1522037.426     1530114.864      12869.221      7921991.342      -9496.106       -9496.106      7838081.371     7870540.251        944.4           20381     
     12.200        48998.810      1527321.112      -3284.056       -3284.056      1537112.591     1528932.795      12973.374      7940971.277       4734.490        4734.490      7903136.664     7926788.460        882.5           20445     
     12.300        49014.052      1518540.767       4340.649        4340.649      1511226.274     1519224.170      13043.232      8098099.775      98911.839       98911.839      7944385.772     8120154.613        865.5           20474     
     12.400        48926.411      1483735.499       520.372         520.372       1485028.199     1484902.221      13034.341      8031877.691      87822.688       87822.688      7973750.819     8090636.943        891.5           20517     
     12.500        49116.934      1497054.037      -15307.699      -15307.699     1517071.300     1491754.969      13215.974      8013352.627      53701.953       53701.953      8015307.622     8068032.078        778.8           20500     
     12.600        48861.633      1515466.516       4637.727        4637.727      1509236.411     1516989.190      13179.139      7979179.844      55238.997       55238.997      8058038.930     8073848.384        873.4           20590     
     12.700        48884.496      1506249.780      -4167.442       -4167.442      1519044.704     1508479.800      13301.074      7975852.550      66240.760       66240.760      8046503.206     8077418.638        819.3           20661     
