        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.50               5.016308              34462                  2                    2                18.620690            21.724138            -0.124915             2.874769            -84.723734     
        0.50               5.016308              34462                  2                    2                21.724138            24.827586            -0.113860             2.681437            -67.237915     
        0.50               5.016308              34462                  2                    2                24.827586            27.931034            -0.088720             1.937682            -34.204069     
        0.50               5.016308              34462                  2                    2                27.931034            31.034483            -0.069116             1.225485            -17.107523     
        0.50               5.016308              34462                  2                    2                31.034483            34.137931             0.021640             1.063613             4.603249      
        0.50               5.016308              34462                  2                    2                34.137931            37.241379             0.114486             0.444149            10.065790      
        0.50               5.016308              34462                  2                    2                37.241379            40.344828             0.018163             0.411968             1.619190      
        0.50               5.016308              34462                  2                    2                40.344828            43.448276             0.457861             0.015081             0.345253      
        0.50               5.016308              34462                  2                    2                43.448276            46.551724             0.186722             0.017045             0.159135      
        0.50               5.016308              34462                  2                    2                46.551724            49.655172            -0.025150             0.032258            -0.040564      
        0.50               5.016308              34462                  2                    2                49.655172            52.758621             0.173354             0.076384             0.662072      
        0.50               5.016308              34462                  2                    2                52.758621            55.862069             0.158410             0.093135             0.737677      
        0.50               5.016308              34462                  2                    2                55.862069            58.965517             0.212855             0.154959             1.649194      
        0.50               5.016308              34462                  2                    2                58.965517            62.068966             0.208922             0.120823             1.262132      
        0.50               5.016308              34462                  2                    2                62.068966            65.172414            -0.001985             0.062444            -0.006197      
        0.50               5.016308              34462                  2                    2                65.172414            68.275862             0.178328             0.058096             0.518012      
        0.50               5.016308              34462                  2                    2                68.275862            71.379310             0.093233             0.062755             0.292539      
        0.50               5.016308              34462                  2                    2                71.379310            74.482759             0.174623             0.100256             0.875351      
        0.50               5.016308              34462                  2                    2                74.482759            77.586207             0.166786             0.099838             0.832579      
        0.50               5.016308              34462                  2                    2                77.586207            80.689655            -0.052198             0.076597            -0.199909      
        0.50               5.016308              34462                  2                    2                80.689655            83.793103             0.158404             0.040150             0.317993      
        0.50               5.016308              34462                  2                    2                83.793103            86.896552             0.012970             0.009786             0.006346      
        0.50               5.016308              34462                  2                    2                86.896552            90.000000            -0.081919             0.003320            -0.013600      
        0.60               5.016308              34540                  2                    2                 0.000000             3.080000             0.030963            13.195500            -0.180182      
        0.60               5.016308              34540                  2                    2                 3.080000             6.160000             0.064902            11.949460            39.023731      
        0.60               5.016308              34540                  2                    2                 6.160000             9.240000             0.024598             9.949113            -26.741321     
        0.60               5.016308              34540                  2                    2                 9.240000            12.320000            -0.007262             7.263815            -61.586938     
        0.60               5.016308              34540                  2                    2                12.320000            15.400000            -0.037189             7.211831            -86.214619     
        0.60               5.016308              34540                  2                    2                15.400000            18.480000            -0.051749             3.988469            -55.386064     
        0.60               5.016308              34540                  2                    2                18.480000            21.560000            -0.137352             4.106233           -112.812364     
        0.60               5.016308              34540                  2                    2                21.560000            24.640000            -0.111951             3.101231            -60.990033     
        0.60               5.016308              34540                  2                    2                24.640000            27.720000            -0.064649             2.535733            -29.212995     
        0.60               5.016308              34540                  2                    2                27.720000            30.800000            -0.001903             2.319257             4.477598      
        0.60               5.016308              34540                  2                    2                30.800000            33.880000            -0.005575             1.836308             1.530486      
        0.60               5.016308              34540                  2                    2                33.880000            36.960000            -0.004982             1.385544             4.397560      
        0.60               5.016308              34540                  2                    2                36.960000            40.040000            -0.059855             0.872301            -1.359520      
        0.60               5.016308              34540                  2                    2                40.040000            43.120000             0.010134             0.660342             8.381620      
        0.60               5.016308              34540                  2                    2                43.120000            46.200000            -0.025624             0.545242             2.856220      
        0.60               5.016308              34540                  2                    2                46.200000            49.280000            -0.155567             0.314747            -9.968956      
        0.60               5.016308              34540                  2                    2                49.280000            52.360000            -0.076408             0.191031            -3.665698      
        0.60               5.016308              34540                  2                    2                52.360000            55.440000            -0.094411             0.223086            -3.745287      
        0.60               5.016308              34540                  2                    2                55.440000            58.520000            -0.018616             0.103835            -0.903237      
        0.60               5.016308              34540                  2                    2                58.520000            61.600000            -0.037889             0.015912            -0.030145      
        0.60               5.016308              34540                  2                    2                61.600000            64.680000             0.078132             0.019819             0.077423      
        0.60               5.016308              34540                  2                    2                64.680000            67.760000             0.225382             0.026549             0.299182      
        0.60               5.016308              34540                  2                    2                67.760000            70.840000             0.099455             0.027268             0.135599      
        0.60               5.016308              34540                  2                    2                70.840000            73.920000             0.204308             0.034913             0.356656      
        0.60               5.016308              34540                  2                    2                73.920000            77.000000             0.208111             0.042534             0.442591      
        0.60               5.016308              34540                  2                    2                77.000000            80.080000             0.185060             0.051211             1.053502      
        0.60               5.016308              34540                  2                    2                80.080000            83.160000             0.042275             0.051473            -0.214485      
        0.60               5.016308              34540                  2                    2                83.160000            86.240000            -0.149585             0.079333            -2.201382      
        0.60               5.016308              34540                  2                    2                86.240000            89.320000            -0.069570             0.105346            -2.147790      
        0.60               5.016308              34540                  2                    2                89.320000            92.400000            -0.074776             0.090689            -2.627221      
        0.60               5.016308              34540                  2                    2                92.400000            95.480000             0.023080             0.062374            -0.106860      
        0.60               5.016308              34540                  2                    2                95.480000            98.560000             0.223960             0.041507             0.570133      
        0.60               5.016308              34540                  2                    2                98.560000            101.640000            0.177604             0.036863             0.327350      
        0.60               5.016308              34540                  2                    2                101.640000           104.720000            0.057806             0.037897             0.109533      
        0.60               5.016308              34540                  2                    2                104.720000           107.800000            0.063629             0.051427             0.029537      
        0.60               5.016308              34540                  2                    2                107.800000           110.880000            0.048978             0.063835            -0.124022      
        0.60               5.016308              34540                  2                    2                110.880000           113.960000            0.003572             0.078279            -0.075190      
