        tauB               sizeBin             clust_size      press_align
       47.00               5.016308              39242              985.451272     
       47.10               5.016308              39231              863.345842     
       47.20               5.016308              39219              758.160198     
       47.30               5.016308              39246              824.607184     
       47.40               5.016308              39499             1073.740443     
       47.50               5.016308              39605             1001.765028     
       47.60               5.016308              39584              940.419072     
       47.70               5.016308              39744              912.748133     
       47.80               5.016308              39842              926.508111     
       47.90               5.016308              39884              885.443085     
       48.00               5.016308              39916              902.611833     
       48.10               5.016308              40083              946.535149     
       48.20               5.016308              39994             1205.429869     
       48.30               5.016308              39969             1148.845067     
       48.40               5.016308              39976             1185.588561     
       48.50               5.016308              39876             1210.821028     
       48.60               5.016308              39978             1107.602376     
       48.70               5.016308              40080             1022.830538     
       48.80               5.016308              40028             1109.095891     
       48.90               5.016308              40073             1018.427074     
       49.00               5.016308              40100              982.799597     
       49.10               5.016308              40182              998.885618     
       49.20               5.016308              40069              862.322254     
       49.30               5.016308              39990              896.332752     
       49.40               5.016308              39985             1022.533900     
       49.50               5.016308              40078             1062.035468     
       49.60               5.016308              40058             1178.591592     
       49.70               5.016308              40060             1114.580811     
       49.80               5.016308              40136             1006.178453     
       49.90               5.016308              40197             1045.327971     
       50.00               5.016308              40133              955.150468     
       50.10               5.016308              40081             1050.965799     
       50.20               5.016308              40134              994.057650     
       50.30               5.016308              40090              908.805703     
       50.40               5.016308              40102              985.043184     
       50.50               5.016308              40064              944.931175     
       50.60               5.016308              39962              998.539834     
       50.70               5.016308              39994             1067.181314     
       50.80               5.016308              40023              965.454065     
       50.90               5.016308              40040             1096.203338     
       51.00               5.016308              39899              983.482551     
       51.10               5.016308              39869             1044.836648     
       51.20               5.016308              39916              997.555247     
       51.30               5.016308              39900             1106.022204     
       51.40               5.016308              39869             1051.692120     
       51.50               5.016308              39960             1108.238330     
       51.60               5.016308              40046              891.840215     
       51.70               5.016308              40232              989.341888     
       51.80               5.016308              40291             1023.368848     
       51.90               5.016308              40304             1096.920342     
       52.00               5.016308              40446              959.328202     
       52.10               5.016308              40429              992.179000     
       52.20               5.016308              40403             1133.984687     
       52.30               5.016308              40405             1132.669308     
       52.40               5.016308              40329             1177.335340     
       52.50               5.016308              40193             1239.182876     
       52.60               5.016308              40147             1214.265093     
       52.70               5.016308              40066             1241.164470     
       52.80               5.016308              40176             1235.183697     
       52.90               5.016308              40094             1093.510390     
       53.00               5.016308              40119              932.017826     
       53.10               5.016308              40079              815.358338     
       53.20               5.016308              40122              813.915442     
       53.30               5.016308              40116              896.970377     
       53.40               5.016308              40101              756.393869     
       53.50               5.016308              40168              890.575957     
       53.60               5.016308              40226              899.068322     
       53.70               5.016308              40288              877.437416     
       53.80               5.016308              40237              980.733604     
       53.90               5.016308              40191             1069.817236     
       54.00               5.016308              40121             1003.473283     
       54.10               5.016308              40148              887.440216     
