        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       22.50               5.016308              32508             3204.988177           63.245160           3141.743017     
       22.60               5.016308              32289             3026.937319           29.726011           2997.211308     
       22.70               5.016308              32055             2800.215863           14.295171           2785.920693     
       22.80               5.016308              32280             3033.949422            3.967244           3029.982179     
       22.90               5.016308              32204             2989.868470            3.802563           2986.065907     
       23.00               5.016308              32314             3025.631719           37.704528           2987.927192     
       23.10               5.016308              32138             2755.525118           36.296857           2719.228261     
       23.20               5.016308              32332             3053.376548            5.490919           3047.885629     
       23.30               5.016308              32259             3061.817941           25.924964           3035.892977     
       23.40               5.016308              32184             2943.236188           78.208757           2865.027431     
       23.50               5.016308              32070             3009.687088           115.982462          2893.704626     
       23.60               5.016308              31489             3142.287015           70.192223           3072.094792     
       23.70               5.016308              31521             3125.780147           45.512785           3080.267362     
       23.80               5.016308              31024             3070.877900           31.092200           3039.785700     
       23.90               5.016308              30835             3244.557586           26.401123           3218.156463     
       24.00               5.016308              31013             3083.728637           39.595745           3044.132892     
       24.10               5.016308              31269             3056.205220           50.014505           3006.190715     
       24.20               5.016308              31416             3096.210300           45.778861           3050.431438     
       24.30               5.016308              31802             3238.541364           33.443225           3205.098138     
       24.40               5.016308              31678             3200.445470           50.897502           3149.547968     
       24.50               5.016308              31828             3064.312686           40.990850           3023.321837     
       24.60               5.016308              31838             3064.812054           83.671362           2981.140692     
       24.70               5.016308              31738             2998.901004           75.640550           2923.260453     
       24.80               5.016308              31657             3092.767652           49.841413           3042.926239     
       24.90               5.016308              31423             3130.174279           97.407008           3032.767270     
       25.00               5.016308              31265             3085.093736           79.047874           3006.045862     
       25.10               5.016308              31097             3116.344929           50.336198           3066.008731     
       25.20               5.016308              30988             3234.030760           69.348060           3164.682701     
       25.30               5.016308              31058             3150.033621           32.574587           3117.459034     
       25.40               5.016308              30992             3154.452165           59.923203           3094.528963     
       25.50               5.016308              30913             3222.840038           70.037675           3152.802363     
       25.60               5.016308              31072             3038.748927           89.688551           2949.060376     
       25.70               5.016308              30842             3013.217648           27.083259           2986.134389     
       25.80               5.016308              30825             3030.871910           35.690560           2995.181349     
       25.90               5.016308              30990             2933.358850           38.314224           2895.044626     
       26.00               5.016308              30833             2840.704328           25.547079           2815.157249     
       26.10               5.016308              30809             2911.892874           47.904531           2863.988343     
       26.20               5.016308              30817             2845.897406           62.483934           2783.413472     
       26.30               5.016308              30731             2803.550520           55.796698           2747.753822     
       26.40               5.016308              30370             2986.193274           89.959211           2896.234063     
       26.50               5.016308              30115             3115.631593           95.254181           3020.377412     
       26.60               5.016308              29867             3218.169204           142.338161          3075.831043     
       26.70               5.016308              30101             3177.126134           133.666169          3043.459965     
       26.80               5.016308              30314             3051.800274           110.162262          2941.638012     
       26.90               5.016308              30098             3078.262231           80.680965           2997.581266     
       27.00               5.016308              30178             3126.494570           92.153671           3034.340898     
       27.10               5.016308              29962             3197.205838           97.536104           3099.669733     
       27.20               5.016308              29858             3179.094901           99.008316           3080.086585     
       27.30               5.016308              30099             3142.548376           91.890895           3050.657481     
       27.40               5.016308              30267             3421.706449           126.530264          3295.176185     
       27.50               5.016308              30403             3375.275653           111.773522          3263.502131     
       27.60               5.016308              30732             3431.551185           124.835010          3306.716175     
       27.70               5.016308              30598             3377.976556           127.905022          3250.071534     
       27.80               5.016308              30420             3310.830299           97.238758           3213.591541     
       27.90               5.016308              30510             3276.439310           84.224014           3192.215296     
