      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      9.40          5.016308         43836             2               2              671            16338         90.515215        3.381707       606.664099      478.061586      19.058518        6.867419          520      
      9.50          5.016308         43833             1               1              798            16354         90.398984        2.670077       608.122150      477.428578      19.151844        5.680663          522      
      9.60          5.016308         43853             1               1              805            16689         93.097870        4.467960       651.274816      472.417086      21.970461        7.452102          580      
      9.70          5.016308         43776             1               1              521            15628         90.346045        3.890753       607.241198      479.859436      17.891676        6.698194          503      
      9.80          5.016308         43587             1               1              736            16294         91.161990        2.791126       618.871619      471.123494      19.716125        5.544940          536      
      9.90          5.016308         43714             2               2              636            16260         90.569918        3.936943       604.801415      474.004351      19.007483        6.960303          519      
     10.00          5.016308         43627             1               1              585            15596         89.635872        3.684987       595.727138      474.125121      17.571004        6.806093          485      
     10.10          5.016308         43526             1               1              702            15811         89.573811        4.400200       601.856017      488.503366      17.693722        9.479881          494      
     10.20          5.016308         43601             1               1              760            16636         90.074026        3.351140       610.775601      468.499127      19.571552        7.149165          525      
     10.30          5.016308         43451             2               2              740            16676         90.310339        3.203746       597.292007      467.532751      19.938153        6.564581          533      
     10.40          5.016308         43385             1               1              809            16453         90.268236        3.674273       607.100840      459.542349      19.912130        6.782072          534      
     10.50          5.016308         43514             1               1              634            16268         90.260169        2.942916       603.700579      465.738282      19.309483        6.309108          524      
     10.60          5.016308         43507             1               1              605            16173         90.475946        3.174595       605.329187      468.413152      19.189473        6.550968          522      
     10.70          5.016308         43619             1               1              602            16120         90.502999        3.190272       604.090711      470.912962      18.954007        6.391778          519      
     10.80          5.016308         43661             1               1              674            16679         91.485269        4.027043       619.088477      468.641959      20.413223        7.618147          548      
     10.90          5.016308         43760             3               3              746            16867         92.172818        4.301913       619.254737      470.091939      21.226665        7.753350          567      
     11.00          5.016308         43867             1               1              694            16411         91.519627        3.325608       645.628033      469.255752      19.944918        6.945602          537      
     11.10          5.016308         43800             2               2              1040           16880         94.049144        9.743251       681.134080      471.727143      23.249283       13.233910          574      
     11.20          5.016308         43758             1               1              862            16465         91.029635        2.904088       606.985242      480.904299      19.693525        5.974006          540      
     11.30          5.016308         43585             2               2              807            16464         90.618278        2.978598       613.296379      468.807111      19.522995        5.534321          525      
     11.40          5.016308         43391             1               1              1014           16273         90.871512        2.965562       615.096904      470.104204      19.969557        5.541660          536      
     11.50          5.016308         43331             1               1              979            15968         89.576583        3.209311       603.666883      467.251866      18.729151        5.433221          507      
     11.60          5.016308         43157             1               1              955            16070         89.933546        3.111838       600.008572      464.643325      19.476495        5.216215          521      
     11.70          5.016308         43124             1               1              1160           16826         92.258518        4.390325       656.031894      460.171156      22.642205        6.748473          580      
     11.80          5.016308         43229             1               1              1001           16182         90.494652        2.327353       599.400968      461.794520      20.022320        4.414396          534      
     11.90          5.016308         43388             1               1              978            15953         90.950510        3.934040       630.501460      472.413591      20.086675        6.311330          533      
     12.00          5.016308         43355             1               1              872            15875         89.595394        2.301386       589.203938      475.102657      18.508221        4.949269          506      
     12.10          5.016308         43488             1               1              783            15446         90.111152        2.281573       587.639868      485.105060      18.034657        5.558131          501      
     12.20          5.016308         43433             1               1              795            15983         90.724292        3.359969       632.486073      469.811043      19.496109        5.931349          522      
     12.30          5.016308         43405             4               4              918            16419         90.772217        2.611692       606.921321      468.499589      20.102444        5.295484          547      
     12.40          5.016308         43398             1               1              1059           16413         90.493914        2.697574       620.093077      460.962875      20.261830        5.758652          540      
     12.50          5.016308         43435             1               1              854            16280         90.353139        2.528147       597.384250      465.705283      19.573587        5.241329          526      
     12.60          5.016308         43410             2               2              1157           16477         89.760191        2.711155       596.106507      465.996407      19.711945        5.670765          522      
     12.70          5.016308         43429             2               2              1079           16478         91.034741        4.620756       638.667094      468.934335      20.829690        7.890145          550      
     12.80          5.016308         43484             3               3              1121           16284         91.083868        3.789318       611.374349      468.363871      20.548272        7.578837          548      
     12.90          5.016308         43461             1               1              994            15905         90.292025        3.382707       606.445115      477.254622      19.113155        7.268355          520      
     13.00          5.016308         43373             1               1              1190           16081         90.462656        3.730476       661.089968      473.263915      19.910481        7.767467          530      
     13.10          5.016308         43224             2               2              1266           16232         90.760243        4.784929       614.939644      483.374269      20.301536        9.055753          545      
     13.20          5.016308         43185             1               1              1131           15612         90.139047        2.896092       614.785712      484.159836      18.987929        7.042741          515      
     13.30          5.016308         43097             1               1              1306           16020         91.112868        4.469289       622.576090      479.323600      20.575378        8.450552          554      
     13.40          5.016308         42996             1               1              1266           15373         89.250727        3.596189       599.781651      474.060855      18.309145        7.616840          501      
     13.50          5.016308         42927             1               1              1547           16111         90.994043        3.790401       621.976437      473.961214      21.129747        7.979204          558      
     13.60          5.016308         42947             1               1              1317           15806         90.338367        3.625036       615.167704      478.695094      19.855405        7.911640          536      
     13.70          5.016308         42953             2               2              1133           15852         89.785359        3.714260       610.268796      480.385614      19.010321        7.862335          518      
     13.80          5.016308         42989             2               2              1211           16146         90.079454        3.909830       607.946471      479.036346      19.922798        7.970052          533      
     13.90          5.016308         42962             1               1              1277           16154         90.909805        4.034303       630.822234      473.672665      20.846400        8.167007          553      
     14.00          5.016308         43187             1               1              1312           16379         91.407413        4.074151       652.352982      480.033632      21.269514        8.311329          570      
     14.10          5.016308         43074             1               1              1258           16437         91.216926        6.480183       649.030042      467.202234      21.464734       10.054614          540      
     14.20          5.016308         42954             1               1              1223           16316         89.944882        4.236745       599.947358      468.614171      20.106417        8.284973          534      
     14.30          5.016308         42888             1               1              1185           16173         89.148181        3.810354       596.501675      466.367710      19.344347        7.706550          519      
     14.40          5.016308         43066             2               2              1198           16453         91.283493        4.244357       617.730407      478.312411      21.291876        8.703578          571      
     14.50          5.016308         43257             1               1              970            16277         81.071227       28.678940       571.252272      476.559065      10.193006       33.055764          569      
     14.60          5.016308         43561             1               1              1005           16836         95.009952        7.272092       714.638343      474.873693      24.373755       10.924259          612      
     14.70          5.016308         43549             1               1              1084           16864         90.807762        3.866539       614.948595      464.649215      20.579737        7.908829          550      
     14.80          5.016308         43455             1               1              1174           16796         91.531723        4.796332       624.908635      463.387843      21.424724        8.658608          568      
     14.90          5.016308         43200             1               1              1087           16245         89.243615        3.930403       600.954824      464.734199      19.047085        8.043852          515      
     15.00          5.016308         43107             3               3              1203           16311         91.477851        5.403463       633.884088      463.374390      21.356691        9.027269          558      
     15.00          5.016308         43107             3               1               6              100          68.808673       40.745134       543.603333       0.000000       68.808673       40.745134           22      
     15.10          5.016308         43129             1               1              1263           15979         90.413400        3.123212       598.180044      464.248856      20.024901        6.875727          532      
     15.20          5.016308         43177             3               3              1021           15673         89.956281        3.271206       601.941257      471.461625      18.749375        7.205551          515      
     15.30          5.016308         43146             1               1              1093           15943         90.073275        3.619801       614.481129      469.686977      19.290294        7.231968          523      
     15.40          5.016308         43117             3               3              1595           16533         91.059511        4.738290       618.573731      466.055521      21.603582        8.766493          566      
     15.50          5.016308         43001             1               1              1602           16375         104.515190       3.142346       28.201986       467.337562      34.947708        7.268522          556      
     15.60          5.016308         42936             1               1              1328           15830         89.761656        2.974782       598.716304      466.135145      19.616015        6.629043          526      
     15.70          5.016308         42997             1               1              1211           15510         89.448902        3.205670       592.050422      465.968682      18.778528        6.327248          505      
     15.80          5.016308         42956             2               2              1636           16394         91.919427        4.587586       645.112032      459.013898      22.460169        7.698685          584      
     15.90          5.016308         42925             2               2              1391           15765         90.085427        3.441554       604.798680      463.055839      19.845926        6.760871          529      
     16.00          5.016308         42852             2               2              1576           16008         90.926426        2.993026       627.923346      455.612916      21.124166        6.006711          562      
     16.10          5.016308         42957             3               3              1348           15596         90.894529        3.603374       625.494463      464.860739      20.135310        6.186620          558      
     16.20          5.016308         43068             1               1              1117           15292         91.004976        3.269434       605.069189      469.719343      19.385857        6.223594          527      
     16.30          5.016308         43250             1               1              1123           15692         90.318168        3.531011       601.531874      462.158355      19.219356        6.498938          522      
     16.40          5.016308         43482             1               1              1017           15366         91.399289        4.868760       641.140213      472.860387      19.446711        8.260061          521      
     16.50          5.016308         43615             2               2              1261           15927         91.593613        3.265996       613.225563      468.495009      20.340936        6.628426          550      
     16.60          5.016308         43632             1               1              1211           16013         92.553027        5.878206       651.620926      466.652107      21.170476        8.901058          568      
     16.70          5.016308         43656             1               1              1313           15974         90.669335        3.238136       605.902082      475.039460      19.520758        6.894551          527      
     16.80          5.016308         43368             3               3              1716           16882         90.823525        2.994836       610.278338      454.820803      21.598347        6.088112          575      
     16.80          5.016308         43368             3               2               11             110          62.381973       36.477591      1100.417421       0.000000       62.381973       36.477591           32      
     16.80          5.016308         43368             3               7               13              91          10.985241        4.090039       92.988651        0.000000       10.985241        4.090039           25      
     16.90          5.016308         43128             1               1              1435           16473         90.065127        2.720585       597.306309      455.736275      20.479831        5.814904          546      
     17.00          5.016308         43134             1               1              1074           16028         89.492330        2.957510       602.083436      465.221599      19.052580        6.019887          515      
     17.10          5.016308         43246             3               3              1211           16356         90.658427        3.477510       608.551930      467.322463      20.724216        6.553052          548      
     17.20          5.016308         43228             3               3              1349           16591         90.812170        3.639528       622.040219      463.719065      21.276946        6.738088          552      
     17.30          5.016308         43169             5               5              1486           16661         92.714472        5.162021       667.990019      458.256236      23.231533        8.232455          599      
