    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     6.600         43064.641       920350.095      11756.920       11756.920       941763.024      942813.479      16842.269      70630550.685     558060.266      558060.266     70083907.371    70915289.294       1397.5          23962     
     6.700         43764.497      1058185.714       8087.202        8087.202      1032338.258     1053349.189      16621.262      70812528.494     201281.051      201281.051     71981918.151    71598504.373       1323.1          33467     
     6.800         43448.228       949054.190      -2316.360       -2316.360       963988.040      954204.755      16886.725      69879791.454    -124847.066     -124847.066     70916610.212    70273353.767       1318.6          33767     
     6.900         43796.251      1008791.982      -10096.150      -10096.150      980279.693      984439.687      16710.173      69679546.892    -515678.918     -515678.918     70189533.439    69418861.248       1267.9          33461     
     7.000         43591.756       961603.145      -1471.147       -1471.147       932506.412      945583.631      16650.476      69153424.690    -160293.898     -160293.898     70368641.120    69600739.007       1341.1          33559     
     7.100         43666.695      1003778.466       3658.658        3658.658      1019735.176     1015415.479      16659.367      69061877.824     -20172.908      -20172.908     69490325.146    69255928.577       1345.7          33464     
     7.200         44336.067      1024251.915       1779.240        1779.240      1042463.913     1035137.154      16726.685      70604971.823     568657.035      568657.035     71568573.197    71655429.545       1096.6          33185     
     7.300         44303.043       974954.662      -6641.577       -6641.577       961467.332      961569.420      16772.411      71038357.104     285907.284      285907.284     71812236.811    71711204.242       1098.8          33347     
     7.400         43999.476       957834.743      16617.315       16617.315       937013.028      964041.201      16948.962      71111764.680    -211239.262     -211239.262     71329595.861    71009441.008       1140.5          33562     
     7.500         43840.706       938056.529      -4511.354       -4511.354       945962.121      937497.971      16979.446      71739216.162     -61798.964      -61798.964     71781562.828    71698590.531       1193.5          33795     
     7.600         43996.935       940568.562      -6525.010       -6525.010       953044.571      940281.557      17078.518      71794370.874    -508105.943     -508105.943     71939793.247    71358976.117       1109.0          33828     
     7.700         43839.436       914175.251       2567.821        2567.821       910052.750      914681.821      17065.817      71294778.839    -418321.758     -418321.758     71275300.086    70866717.705       1152.9          33910     
     7.800         43688.287       916799.587       7686.338        7686.338       915997.762      924085.013      17197.913      70078846.105    -211801.485     -211801.485     70892070.012    70273656.573       1189.0          34083     
