    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     6.200         82546.528       376860.141      -10880.416      -10880.416      385289.388      370194.349      42972.573     280718080.963    -582079.776     -582079.776    278537333.879   279045627.645       1240.5          87909     
     6.300         82642.477       363983.546       162.572         162.572        381502.739      372905.715      42914.499     281463892.619     316357.879      316357.879    282584647.982   282340628.179       1233.7          87776     
     6.400         82751.051       392534.760       -628.172        -628.172       384000.980      387639.698      42769.313     283741736.330    1090669.948     1090669.948    283720566.704   284821821.466       1238.2          87707     
     6.500         82768.726       402215.558       8656.089        8656.089       419554.544      419541.140      42697.351     282482023.034    2155596.750     2155596.750    281298759.567   284045988.051       1249.4          87474     
     6.600         82950.524       425308.240       1797.013        1797.013       431562.335      430232.301      42486.515     282258834.892    1966244.927     1966244.927    283559825.712   284875575.229       1256.2          87152     
     6.700         83061.623       444263.140      13084.166       13084.166       456159.281      463295.376      42396.879     281630263.779    1383166.427     1383166.427    285346134.627   284871365.630       1251.7          87033     
     6.800         83219.434       438919.714      -2445.228       -2445.228       467807.380      450918.318      42406.979     283658221.923    1126392.348     1126392.348    283355458.284   284633232.451       1214.6          87018     
     6.900         83138.635       425175.780       1524.909        1524.909       427750.225      427987.912      42447.378     282546740.492    1627017.123     1627017.123    281232087.592   283516431.166       1213.5          87040     
     7.000         83089.398       457845.013       3697.844        3697.844       442294.195      453767.448      42406.979     279485759.642    -533743.712     -533743.712    278406661.214   278412466.716       1256.2          86881     
     7.100         83026.274       429818.094       3055.641        3055.641       430598.675      433264.026      42605.189     276855503.733    -1333997.374    -1333997.374   278088219.833   276137864.409       1220.2          87039     
     7.200         82953.049       460556.366      -5420.378       -5420.378       470546.049      460130.829      42495.353     277472038.084    -2726895.203    -2726895.203   279160072.504   275589160.090       1248.3          86827     
     7.300         83170.197       451159.943       3518.288        3518.288       466678.008      462437.264      42234.018     283115256.368    -832539.353     -832539.353    283963236.806   282706707.234       1270.8          86816     
     7.400         83215.647       472546.779       6706.080        6706.080       443947.788      464953.364      42072.419     286142434.541    -1419094.447    -1419094.447   285311493.710   284307869.678       1307.9          86722     
     7.500         83336.846       468352.016       2933.790        2933.790       464459.533      469339.565      42236.543     282922164.437     211318.874      211318.874    283613670.422   283479236.303       1218.0          86651     
     7.600         83180.297       481919.715      -4818.757       -4818.757       476136.686      474209.444      42331.229     280467416.310    -213626.352     -213626.352    281747620.163   280893891.885       1241.6          86854     
     7.700         82966.937       463855.766       1069.467        1069.467       445897.610      455946.155      42461.265     277205461.023     962473.201      962473.201    277945528.958   278537968.191       1284.3          86847     
     7.800         83132.323       455979.931       2923.262        2923.262       447196.745      454511.599      42380.466     276938735.324    -557900.687     -557900.687    276342241.147   276082587.549       1250.6          86626     
     7.900         83122.223       460850.776      -5555.812       -5555.812       462349.044      456044.098      42380.466     278467340.188     471844.596      471844.596    276703560.273   278057294.827       1218.0          86697     
     8.000         83194.185       467591.247       2997.785        2997.785       476350.415      474968.616      42197.405     284040680.835     872230.344      872230.344    281321320.907   283553231.215       1283.2          86660     
     8.100         83588.081       481692.868       1141.433        1141.433       466363.680      475169.707      41903.246     289882767.365    -1824769.111    -1824769.111   285573358.107   285903293.624       1253.9          86523     
     8.200         83379.770       439033.655      14462.939       14462.939       433142.405      450550.970      42324.917     290762069.970    -2619216.910    -2619216.910   285443613.416   285483624.783       1196.6          86959     
