      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      4.80          5.016308         30418             4               4              7288            9446         86.040931        4.476092       599.517404      399.693360      26.441684        6.975486          599      
      4.80          5.016308         30418             4               1              163             137          25.338090       12.104426       180.736432       0.000000       25.338090       12.104426           23      
      4.80          5.016308         30418             4               2              128             106          10.768047        1.354023       72.699471        0.000000       10.768047        1.354023           27      
      4.80          5.016308         30418             4               7              105              82           5.246695        0.665507       34.757819        0.000000        5.246695        0.665507           16      
      4.80          5.016308         30418             4               6               73              55           5.330200        0.516257       34.128915        0.000000        5.330200        0.516257           10      
      4.90          5.016308         30469             3               3              7883            9923         109.625032       2.424285       31.362273       394.341476      51.005485        5.203461          647      
      4.90          5.016308         30469             3               1              180             142          12.693743        3.289694       91.475909        0.000000       12.693743        3.289694           33      
      5.00          5.016308         30500             5               5              7944            9893         88.871339        5.745414       678.129175      408.993090      29.498497        9.000049          668      
      5.00          5.016308         30500             5               7              225             180          11.545834        4.336727       85.129301        0.000000       11.545834        4.336727           33      
      5.00          5.016308         30500             5               8               95              81           8.914188        2.219358       61.537112        0.000000        8.914188        2.219358           19      
      5.10          5.016308         30310             4               4              7758            9833         84.851152       15.798177       619.619841      410.477833      25.629800       19.349404          654      
      5.10          5.016308         30310             4               5              156             107          11.640724        5.743973       99.235460        0.000000       11.640724        5.743973           27      
      5.10          5.016308         30310             4               1               87              80           8.021548        2.454768       60.153075        0.000000        8.021548        2.454768           17      
      5.10          5.016308         30310             4               10              94              60           6.514896        2.847835       53.981850        0.000000        6.514896        2.847835           15      
      5.10          5.016308         30310             4               12              80              52           0.000000        0.000000        0.000000        0.000000        0.000000        0.000000           12      
      5.20          5.016308         30105             4               4              6963            9137         85.261933        3.935008       593.157947      411.626305      24.820563        6.935741          574      
      5.20          5.016308         30105             4               1              101              68           7.715063        1.617225       51.807316        0.000000        7.715063        1.617225           16      
      5.20          5.016308         30105             4               8               76              63           6.058298        0.907837       39.144776        0.000000        6.058298        0.907837           12      
      5.20          5.016308         30105             4               7               72              65           5.757981        0.440962       37.067820        0.000000        5.757981        0.440962           11      
      5.20          5.016308         30105             4               3               63              55           5.430501        1.748454       37.886550        0.000000        5.430501        1.748454           11      
      5.30          5.016308         30023             5               5              7217            9300         82.983038       16.633921       461.533127      415.870714      22.190474       20.040113          615      
      5.30          5.016308         30023             5               4              192             156          12.292360        2.657546       89.745152        0.000000       12.292360        2.657546           35      
      5.30          5.016308         30023             5               7              184             145          13.127790        5.568504       105.924761       0.000000       13.127790        5.568504           31      
      5.30          5.016308         30023             5               6              130              99           7.562508        1.846623       51.046093        0.000000        7.562508        1.846623           21      
      5.30          5.016308         30023             5               8               93              59          70.923929       42.161279       552.080774       0.000000       70.923929       42.161279           12      
      5.40          5.016308         30309             5               5              7186            9445         86.093501        3.949808       600.967097      422.073501      25.989713        7.607470          603      
