      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
     14.30          5.016308         25847            6327            3813            208             6933           15781            1880           11713            5433            513              0               0               0       
     14.40          5.016308         25687            6399            3872            210             7019           15898            1889           11555            5257            502              0               0               0       
     14.50          5.016308         25642            6413            3776            209             7090           15984            1892           11470            5267            500              0               0               0       
     14.60          5.016308         25638            6220            3640            202             7155           16077            1896           11598            5310            503              0               0               0       
     14.70          5.016308         25136            6135            3572            199             7162           16031            1888           11676            5424            514              0               0               0       
     14.80          5.016308         25396            6285            3670            204             7149           15916            1877           11539            5441            520              0               0               0       
     14.90          5.016308         25685            6841            3899            221             7225           16162            1902           10907            4966            478              0               0               0       
     15.00          5.016308         25751            6754            3864            219             6949           15711            1862           11270            5452            520              0               0               0       
     15.10          5.016308         26056            6384            3614            206             6843           15745            1867           11746            5668            528              0               0               0       
     15.20          5.016308         26056            6270            3525            202             6933           15894            1881           11770            5608            518              0               0               0       
     15.30          5.016308         26181            6261            3573            202             6942           15976            1883           11770            5478            516              0               0               0       
     15.40          5.016308         25937            6097            3442            195             7075           16108            1890           11801            5477            516              0               0               0       
     15.50          5.016308         25262            6040            3388            193             7309           16487            1912           11624            5152            496              0               0               0       
     15.60          5.016308         25510            5902            3350            189             7255           16391            1897           11816            5286            515              0               0               0       
     15.70          5.016308         24437            5525            3200            178             7254           15943            1836           12085            5646            558             109             238              29      
     15.80          5.016308         24394            5624            3194            181             7305           16021            1845           11930            5613            550             114             199              25      
     15.90          5.016308         24146            6072            3281            191             7816           16943            1936           11085            4803            474              0               0               0       
     16.00          5.016308         24134            5338            3135            173             7772           16871            1923           11863            5021            505              0               0               0       
     16.10          5.016308         23774            5466            3143            174             7900           16977            1932           11607            4907            495              0               0               0       
     16.20          5.016308         23688            4591            2887            151             7857           16707            1901           12453            5311            537              72             122              12      
     16.30          5.016308         23214            5268            3004            167             8208           17042            1929           11497            4981            505              0               0               0       
     16.40          5.016308         22903            5659            3128            178             8363           17320            1950           10951            4579            473              0               0               0       
     16.50          5.016308         22939            5816            3162            182             8401           17369            1954           10756            4496            465              0               0               0       
     16.60          5.016308         23317            5899            3180            184             8258           17404            1965           10816            4443            452              0               0               0       
     16.70          5.016308         23266            5579            3120            176             8042           17031            1926           11352            4876            499              0               0               0       
     16.80          5.016308         23255            5462            3072            174             8022           16958            1917           11489            4997            510              0               0               0       
     16.90          5.016308         23608            5353            2932            169             7948           16968            1920           11672            5127            512              0               0               0       
     17.00          5.016308         23658            5465            2998            172             7848           16900            1914           11569            4940            496              91             189              19      
     17.10          5.016308         23434            5126            2910            162             8153           17438            1966           11694            4679            473              0               0               0       
     17.20          5.016308         23502            5590            3058            175             8043           17176            1939           11340            4793            487              0               0               0       
     17.30          5.016308         23435            5561            3015            174             7985           17111            1939           11427            4901            488              0               0               0       
     17.40          5.016308         23787            6023            3028            184             7970           17256            1957           10980            4743            460              0               0               0       
     17.50          5.016308         24232            5654            2923            174             7820           16998            1931           11499            5106            496              0               0               0       
     17.60          5.016308         23852            5566            2891            171             7727           16822            1921           11680            5314            509              0               0               0       
     17.70          5.016308         23611            5325            2806            164             7948           17236            1945           11700            4985            492              0               0               0       
     17.80          5.016308         23562            5438            2837            168             7855           17006            1931           11680            5184            502              0               0               0       
     17.90          5.016308         23618            5700            2881            174             8035           17374            1964           11238            4772            463              0               0               0       
     18.00          5.016308         23861            6072            2968            183             8030           17434            1965           10871            4625            453              0               0               0       
     18.10          5.016308         24312            6034            2992            184             7859           17141            1946           11080            4894            471              0               0               0       
     18.20          5.016308         24242            5999            2940            183             7657           16987            1926           11317            5100            492              0               0               0       
     18.30          5.016308         24574            5972            2898            182             7619           17017            1932           11382            5112            487              0               0               0       
     18.40          5.016308         24605            6565            3087            199             7590           16899            1924           10818            5041            478              0               0               0       
     18.50          5.016308         24578            6120            3043            190             7534           16976            1921           11319            5008            490              0               0               0       
     18.60          5.016308         24315            6088            3024            188             7539           16968            1923           11346            5035            490              0               0               0       
