        tauB               sizeBin             clust_size          press_align          press_alignA     press_alignB
       17.20               5.016308              42210             1468.745207           20.071682           1448.673525     
       17.30               5.016308              42115             1478.664929           30.896339           1447.768590     
       17.40               5.016308              41988             1482.137948           53.028416           1429.109532     
       17.50               5.016308              41957             1435.343946           11.560779           1423.783167     
       17.60               5.016308              41976             1500.060283           28.441733           1471.618550     
       17.70               5.016308              42172             1495.029355           -17.258433          1512.287788     
       17.80               5.016308              42085             1499.064121           -12.248122          1511.312243     
       17.90               5.016308              42178             1553.281058            7.229958           1546.051100     
       18.00               5.016308              42336             1527.851286           -15.082297          1542.933583     
       18.10               5.016308              42342             1396.644956           -48.217412          1444.862368     
       18.20               5.016308              42256             1475.916194           -17.966940          1493.883135     
       18.30               5.016308              42225             1440.491194           -21.038660          1461.529853     
       18.40               5.016308              42245             1459.784310           15.284020           1444.500290     
       18.50               5.016308              42231             1471.468103           20.072304           1451.395799     
       18.60               5.016308              42296             1461.781688           32.252756           1429.528932     
       18.70               5.016308              42433             1407.442707            0.622357           1406.820350     
       18.80               5.016308              42503             1372.803898           -41.875803          1414.679702     
       18.90               5.016308              42413             1396.387366           -39.506424          1435.893789     
       19.00               5.016308              42331             1338.930937           -25.949991          1364.880928     
       19.10               5.016308              42241             1397.486266           -32.505606          1429.991871     
       19.20               5.016308              42244             1457.975479           -5.099727           1463.075205     
       19.30               5.016308              42300             1423.803934           -12.472116          1436.276050     
       19.40               5.016308              42095             1491.083240           16.727386           1474.355854     
       19.50               5.016308              42174             1481.851828            9.728607           1472.123221     
       19.60               5.016308              42187             1514.036095            2.748620           1511.287475     
       19.70               5.016308              42248             1482.906117           21.149789           1461.756328     
       19.80               5.016308              42260             1503.398483           18.181765           1485.216719     
       19.90               5.016308              42447             1511.598961           24.699026           1486.899935     
       20.00               5.016308              42446             1467.802669           34.581200           1433.221469     
       20.10               5.016308              42499             1478.369293           18.862734           1459.506559     
       20.20               5.016308              42618             1511.627239           23.439119           1488.188120     
       20.30               5.016308              42598             1505.202760           -11.693640          1516.896400     
       20.40               5.016308              42599             1486.924915           -34.323522          1521.248437     
       20.50               5.016308              42638             1483.975974           -42.315984          1526.291958     
       20.60               5.016308              42628             1461.047046           -39.055531          1500.102577     
       20.70               5.016308              42523             1480.314669           14.606999           1465.707671     
       20.80               5.016308              42351             1405.081378           -20.360162          1425.441540     
       20.90               5.016308              42138             1440.445931            5.519244           1434.926687     
       21.00               5.016308              42051             1515.935302           37.676174           1478.259128     
       21.10               5.016308              41971             1578.819102           45.125416           1533.693686     
       21.20               5.016308              42039             1543.425718           43.378962           1500.046756     
       21.30               5.016308              42039             1578.502381           27.199013           1551.303368     
       21.40               5.016308              42025             1510.531428           -11.165825          1521.697253     
       21.50               5.016308              42132             1526.346224           -34.773301          1561.119525     
       21.60               5.016308              42238             1575.618542           20.241697           1555.376845     
       21.70               5.016308              42332             1612.199006           49.132325           1563.066681     
       21.80               5.016308              42356             1557.583347           79.285077           1478.298270     
       21.90               5.016308              42453             1503.033219           49.624787           1453.408432     
       22.00               5.016308              42520             1362.696825           11.166166           1351.530659     
       22.10               5.016308              42387             1374.134337           29.968197           1344.166139     
       22.20               5.016308              42253             1421.144200           26.648586           1394.495614     
       22.30               5.016308              42268             1418.903869           -2.461930           1421.365799     
       22.40               5.016308              42143             1576.239617           52.340115           1523.899501     
       22.50               5.016308              42209             1559.185457           41.914788           1517.270668     
       22.60               5.016308              42273             1524.867812           68.074521           1456.793291     
       22.70               5.016308              42007             1487.172913           59.194655           1427.978258     
       22.80               5.016308              41890             1442.854451            9.678663           1433.175788     
       22.90               5.016308              41831             1453.042831            4.175802           1448.867030     
       23.00               5.016308              41915             1410.060975           -14.915940          1424.976915     
       23.10               5.016308              42056             1438.804197           -10.390598          1449.194794     
       23.20               5.016308              42184             1424.802918           -3.771216           1428.574134     
       23.30               5.016308              42199             1457.445992           -16.771802          1474.217794     
       23.40               5.016308              42199             1442.204748           -15.584450          1457.789199     
       23.50               5.016308              42262             1478.119546           -29.311826          1507.431372     
       23.60               5.016308              42327             1376.638549           -68.402733          1445.041282     
       23.70               5.016308              42391             1431.898384            5.821345           1426.077040     
       23.80               5.016308              42351             1411.923205           -12.904885          1424.828089     
       23.90               5.016308              42451             1490.184003            7.507332           1482.676671     
       24.00               5.016308              42388             1414.136714           -47.341402          1461.478116     
       24.10               5.016308              42227             1411.688654           -7.788847           1419.477502     
       24.20               5.016308              42306             1345.271285           -29.109558          1374.380843     
       24.30               5.016308              42291             1333.544862           -31.275185          1364.820047     
       24.40               5.016308              42088             1367.562698           -31.409241          1398.971939     
       24.50               5.016308              41777             1372.953453           -17.015939          1389.969392     
       24.60               5.016308              41664             1421.586986           -40.360387          1461.947373     
       24.70               5.016308              41677             1524.939320           -25.669659          1550.608979     
       24.80               5.016308              41600             1522.827518            0.368042           1522.459476     
       24.90               5.016308              41655             1525.416418           22.454099           1502.962320     
       25.00               5.016308              41658             1478.637936           10.947992           1467.689944     
       25.10               5.016308              41743             1533.168689           17.738946           1515.429743     
       25.20               5.016308              41724             1499.725202           -29.461070          1529.186272     
       25.30               5.016308              41620             1478.820503           -43.571268          1522.391772     
       25.40               5.016308              41694             1473.938447           -34.253746          1508.192193     
       25.50               5.016308              41737             1493.805415           -8.120898           1501.926313     
       25.60               5.016308              41821             1438.296121           16.786646           1421.509475     
       25.70               5.016308              41854             1464.342021           -1.744600           1466.086621     
       25.80               5.016308              41846             1455.683857           24.180564           1431.503292     
       25.90               5.016308              41954             1540.036762           37.204331           1502.832431     
       26.00               5.016308              41986             1519.133653           41.566790           1477.566863     
       26.10               5.016308              42047             1518.144312           23.411683           1494.732629     
       26.20               5.016308              42179             1573.781404           34.449847           1539.331557     
       26.30               5.016308              42281             1504.197209           22.056756           1482.140453     
       26.40               5.016308              42340             1477.593272           31.161047           1446.432225     
       26.50               5.016308              42444             1474.777839           37.113094           1437.664745     
       26.60               5.016308              42423             1396.773623           19.470120           1377.303503     
       26.70               5.016308              42382             1431.006778           -9.603851           1440.610629     
       26.80               5.016308              42163             1414.537645           -0.921436           1415.459081     
       26.90               5.016308              42084             1445.000196            0.874363           1444.125833     
       27.00               5.016308              42169             1424.892869           -17.308850          1442.201719     
       27.10               5.016308              42225             1476.791060           -34.057081          1510.848141     
       27.20               5.016308              42299             1484.944590           -25.323108          1510.267698     
       27.30               5.016308              42384             1438.741272           -27.370002          1466.111274     
       27.40               5.016308              42246             1412.845254           -61.968034          1474.813288     
       27.50               5.016308              42275             1396.677181           -64.063581          1460.740762     
       27.60               5.016308              42322             1437.326352           -18.775984          1456.102335     
       27.70               5.016308              42367             1410.921949           -17.473324          1428.395273     
       27.80               5.016308              42370             1356.337124           -14.086811          1370.423935     
       27.90               5.016308              42325             1347.684767           -3.899824           1351.584591     
       28.00               5.016308              42303             1415.718538           -3.493970           1419.212508     
       28.10               5.016308              42319             1427.475116           -12.307633          1439.782748     
       28.20               5.016308              42258             1430.193148           -28.875887          1459.069035     
       28.30               5.016308              42217             1403.826553            4.038177           1399.788376     
       28.40               5.016308              42268             1390.150438           16.733840           1373.416599     
       28.50               5.016308              42124             1395.157077           -38.565368          1433.722445     
       28.60               5.016308              42037             1428.382095           -46.670179          1475.052274     
       28.70               5.016308              41867             1442.938035            0.285968           1442.652066     
       28.80               5.016308              41873             1434.534592           -62.093023          1496.627616     
       28.90               5.016308              42065             1484.261690           -39.574792          1523.836482     
       29.00               5.016308              42044             1479.928098           -10.715296          1490.643393     
       29.10               5.016308              42059             1397.096635           -19.423472          1416.520107     
       29.20               5.016308              42243             1342.120074           -36.238383          1378.358457     
       29.30               5.016308              42221             1341.871601           -15.906613          1357.778214     
       29.40               5.016308              42290             1363.897058           21.241017           1342.656041     
       29.50               5.016308              42330             1381.728390            2.295215           1379.433175     
