        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.90               5.016308              31310                  1                    1                48.750000            52.000000             0.400820             0.002731             0.109456      
        1.00               5.016308              31554                  1                    1                 0.000000             3.111111             0.069946             2.955661            20.673707      
        1.00               5.016308              31554                  1                    1                 3.111111             6.222222             0.102430             2.347077            24.041136      
        1.00               5.016308              31554                  1                    1                 6.222222             9.333333             0.170026             2.630098            44.718563      
        1.00               5.016308              31554                  1                    1                 9.333333            12.444444             0.212047             1.797177            38.108567      
        1.00               5.016308              31554                  1                    1                12.444444            15.555556             0.178121             0.682055            12.148839      
        1.00               5.016308              31554                  1                    1                15.555556            18.666667             0.220415             0.197892             4.361835      
        1.00               5.016308              31554                  1                    1                18.666667            21.777778             0.099360             0.098906             0.982735      
        1.00               5.016308              31554                  1                    1                21.777778            24.888889             0.078513             0.117161             0.919869      
        1.00               5.016308              31554                  1                    1                24.888889            28.000000             0.124885             0.166936             2.084785      
        1.00               5.016308              31554                  1                    1                28.000000            31.111111             0.088386             0.123736             1.093655      
        1.00               5.016308              31554                  1                    1                31.111111            34.222222             0.147104             0.073106             1.075417      
        1.00               5.016308              31554                  1                    1                34.222222            37.333333             0.127863             0.053980             0.690204      
        1.00               5.016308              31554                  1                    1                37.333333            40.444444             0.040050             0.049970             0.200127      
        1.00               5.016308              31554                  1                    1                40.444444            43.555556             0.118893             0.032255             0.383490      
        1.00               5.016308              31554                  1                    1                43.555556            46.666667             0.142278             0.036023             0.512529      
        1.00               5.016308              31554                  1                    1                46.666667            49.777778            -0.032232             0.030834            -0.099384      
        1.00               5.016308              31554                  1                    1                49.777778            52.888889             0.137404             0.015798             0.217074      
        1.00               5.016308              31554                  1                    1                52.888889            56.000000             0.233643             0.009523             0.222506      
        1.10               5.016308              31847                  1                    1                 0.000000             3.111111             0.078369             2.885615            22.614147      
        1.10               5.016308              31847                  1                    1                 3.111111             6.222222             0.137551             2.470381            33.980325      
        1.10               5.016308              31847                  1                    1                 6.222222             9.333333             0.210326             2.497880            52.536981      
        1.10               5.016308              31847                  1                    1                 9.333333            12.444444             0.270631             0.742856            20.104010      
        1.10               5.016308              31847                  1                    1                12.444444            15.555556             0.249983             0.202060             5.051154      
        1.10               5.016308              31847                  1                    1                15.555556            18.666667             0.160322             0.183452             2.941144      
        1.10               5.016308              31847                  1                    1                18.666667            21.777778             0.076545             0.182870             1.399770      
        1.10               5.016308              31847                  1                    1                21.777778            24.888889             0.186948             0.122685             2.293564      
        1.10               5.016308              31847                  1                    1                24.888889            28.000000             0.110298             0.083584             0.921912      
        1.10               5.016308              31847                  1                    1                28.000000            31.111111            -0.026122             0.061500            -0.160650      
        1.10               5.016308              31847                  1                    1                31.111111            34.222222             0.170161             0.039152             0.666215      
        1.10               5.016308              31847                  1                    1                34.222222            37.333333             0.109098             0.021824             0.238099      
        1.10               5.016308              31847                  1                    1                37.333333            40.444444             0.538799             0.010881             0.586275      
        1.10               5.016308              31847                  1                    1                40.444444            43.555556             0.118806             0.008607             0.102258      
        1.10               5.016308              31847                  1                    1                43.555556            46.666667             0.173582             0.012269             0.212971      
        1.10               5.016308              31847                  1                    1                46.666667            49.777778             0.167703             0.010104             0.169449      
        1.10               5.016308              31847                  1                    1                49.777778            52.888889             0.005536             0.006063             0.003356      
        1.10               5.016308              31847                  1                    1                52.888889            56.000000             0.054545             0.002282             0.012445      
        1.20               5.016308              32071                  1                    1                 0.000000             3.105263             0.067251             2.686938            18.069871      
        1.20               5.016308              32071                  1                    1                 3.105263             6.210526             0.120028             2.400284            28.810130      
        1.20               5.016308              32071                  1                    1                 6.210526             9.315789             0.211636             2.554457            54.061586      
        1.20               5.016308              32071                  1                    1                 9.315789            12.421053             0.286489             0.871965            24.980836      
        1.20               5.016308              32071                  1                    1                12.421053            15.526316             0.217327             0.243933             5.301316      
        1.20               5.016308              32071                  1                    1                15.526316            18.631579             0.088249             0.163946             1.446803      
