        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align                alignA               alignB              num_dens            num_densA            num_densB              press                pressA               pressB       
        0.00               5.016308                3                    1                    0                85.277227            88.322842            -0.025508               nan               -0.025508             0.408785             0.000000             0.408785             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                88.322842            91.368457            -0.003193               nan               -0.003193             0.389693             0.000000             0.389693             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                91.368457            94.414072             0.034734               nan                0.034734             0.392106             0.000000             0.392106             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                94.414072            97.459688             0.010431               nan                0.010431             0.386739             0.000000             0.386739             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                97.459688            100.505303            0.045029               nan                0.045029             0.377479             0.000000             0.377479             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                100.505303           103.550918           -0.008359               nan               -0.008359             0.386698             0.000000             0.386698             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                103.550918           106.596533            0.002927               nan                0.002927             0.381458             0.000000             0.381458             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                106.596533           109.642149           -0.051722               nan               -0.051722             0.402612             0.000000             0.402612             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                109.642149           112.687764            0.004732               nan                0.004732             0.376539             0.000000             0.376539             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                112.687764           115.733379            0.007395               nan                0.007395             0.401729             0.000000             0.401729             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                115.733379           118.778994            0.036240               nan                0.036240             0.387729             0.000000             0.387729             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                118.778994           121.824610           -0.019461               nan               -0.019461             0.391379             0.000000             0.391379             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                121.824610           124.870225           -0.030688               nan               -0.030688             0.387647             0.000000             0.387647             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                124.870225           127.915840            0.018376               nan                0.018376             0.390709             0.000000             0.390709             0.000000             0.000000             0.000000      
