        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align                alignA               alignB              num_dens            num_densA            num_densB              press                pressA               pressB       
        0.00               5.016308                3                    1                    0                42.638613            45.684229            -0.026001            -0.026001               nan                1.569082             1.569082             0.000000            -14.279445           -14.279445            0.000000      
        0.00               5.016308                3                    1                    0                45.684229            48.729844             0.028665             0.028665               nan                1.563051             1.563051             0.000000            15.681535            15.681535             0.000000      
        0.00               5.016308                3                    1                    0                48.729844            51.775459            -0.013668            -0.013668               nan                1.570229             1.570229             0.000000            -7.511398            -7.511398             0.000000      
        0.00               5.016308                3                    1                    0                51.775459            54.821074            -0.009906            -0.009906               nan                1.583451             1.583451             0.000000            -5.490035            -5.490035             0.000000      
        0.00               5.016308                3                    1                    0                54.821074            57.866690            -0.003556            -0.003556               nan                1.597098             1.597098             0.000000            -1.987527            -1.987527             0.000000      
        0.00               5.016308                3                    1                    0                57.866690            60.912305             0.021105             0.021105               nan                1.590867             1.590867             0.000000            11.751188            11.751188             0.000000      
        0.00               5.016308                3                    1                    0                60.912305            63.957920            -0.021270            -0.021270               nan                1.581896             1.581896             0.000000            -11.776594           -11.776594            0.000000      
        0.00               5.016308                3                    1                    0                63.957920            67.003535            -0.019414            -0.019414               nan                1.572962             1.572962             0.000000            -10.687857           -10.687857            0.000000      
        0.00               5.016308                3                    1                    0                67.003535            70.049151             0.013999             0.013999               nan                1.567872             1.567872             0.000000             7.681991             7.681991             0.000000      
        0.00               5.016308                3                    1                    0                70.049151            73.094766             0.454619             0.034488             0.634796             1.554454             0.466555             1.087899             5.631651             5.631651             0.000000      
        0.00               5.016308                3                    1                    0                73.094766            76.140381             0.637519               nan                0.637519             1.558939             0.000000             1.558939             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                76.140381            79.185996             0.637349               nan                0.637349             1.552306             0.000000             1.552306             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                79.185996            82.231612             0.635910               nan                0.635910             1.518980             0.000000             1.518980             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                82.231612            85.277227             0.636742               nan                0.636742             1.488078             0.000000             1.488078             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                85.277227            88.322842             0.636801               nan                0.636801             1.311845             0.000000             1.311845             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                88.322842            91.368457             0.277218               nan                0.277218             0.514744             0.000000             0.514744             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                91.368457            94.414072            -0.003868               nan               -0.003868             0.294782             0.000000             0.294782             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                94.414072            97.459688            -0.010139               nan               -0.010139             0.279432             0.000000             0.279432             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                97.459688            100.505303           -0.048595               nan               -0.048595             0.284561             0.000000             0.284561             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                100.505303           103.550918            0.053355               nan                0.053355             0.304237             0.000000             0.304237             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                103.550918           106.596533            0.022902               nan                0.022902             0.278509             0.000000             0.278509             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                106.596533           109.642149            0.020724               nan                0.020724             0.290480             0.000000             0.290480             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                109.642149           112.687764           -0.025148               nan               -0.025148             0.285342             0.000000             0.285342             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                112.687764           115.733379            0.034324               nan                0.034324             0.281851             0.000000             0.281851             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                115.733379           118.778994            0.034093               nan                0.034093             0.291911             0.000000             0.291911             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                118.778994           121.824610           -0.016579               nan               -0.016579             0.270621             0.000000             0.270621             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                121.824610           124.870225            0.002252               nan                0.002252             0.283427             0.000000             0.283427             0.000000             0.000000             0.000000      
        0.00               5.016308                3                    1                    0                124.870225           127.915840            0.005852               nan                0.005852             0.286520             0.000000             0.286520             0.000000             0.000000             0.000000      
