        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
       11.30               5.025009              61740             19746.059482           1.897138             0.052682           20175.321645           1.306745             0.566067            631.267886            0.346921             0.157729           90347.059880           0.397976             0.147738      
       11.40               5.025009              61370             19493.552327           1.900782             0.054369           20554.082376           1.302710             0.577713            732.270748            0.289510             0.105604           90119.803441           0.399013             0.145753      
       11.50               5.025009              61588             19367.298750           1.902072             0.054740           20983.344539           1.296028             0.582532            580.766455            0.306492             0.099243           89968.299149           0.397796             0.145823      
       11.60               5.025009              61639             19544.053758           1.903290             0.058194           20680.335954           1.292677             0.582581             0.000000             0.000000             0.000000           90675.319181           0.397782             0.145641      
       11.70               5.025009              61600             19922.814490           1.898928             0.056501           20326.825937           1.283034             0.583282             0.000000             0.000000             0.000000           90650.068466           0.398102             0.146344      
       11.80               5.025009              61556             20175.321645           1.891816             0.059303           20049.068067           1.286494             0.568026             0.000000             0.000000             0.000000           90675.319181           0.397451             0.146414      
       11.90               5.025009              61980             19720.808767           1.890135             0.059769           21109.598116           1.283539             0.577056            252.507155            0.431671             0.128267           89816.794856           0.395483             0.144031      
       12.00               5.025009              61698             20503.580945           1.891231             0.062095           19544.053758           1.292618             0.567066             0.000000             0.000000             0.000000           90852.074189           0.395808             0.145067      
       12.10               5.025009              61955             19948.065206           1.889908             0.060747           20604.583807           1.295585             0.566576             0.000000             0.000000             0.000000           90347.059880           0.394091             0.140825      
       12.20               5.025009              62003             19922.814490           1.886982             0.060248           20200.572360           1.315111             0.545711             0.000000             0.000000             0.000000           90776.322043           0.394817             0.144813      
       12.30               5.025009              61890             19897.563775           1.884703             0.062277           20402.578084           1.298806             0.559749            757.521464            0.446192             0.173511           89842.045571           0.396941             0.146219      
       12.40               5.025009              61252             19796.560913           1.888055             0.060935           20326.825937           1.296661             0.565304             0.000000             0.000000             0.000000           90776.322043           0.399509             0.145282      
       12.50               5.025009              61504             19720.808767           1.887042             0.061605           19973.315921           1.311350             0.561757            757.521464            0.336624             0.176740           90448.062742           0.401766             0.145971      
       12.60               5.025009              61202             19645.056620           1.887345             0.057593           20756.088100           1.285069             0.564344             0.000000             0.000000             0.000000           90498.564173           0.400559             0.141980      
       12.70               5.025009              61186             19619.805905           1.888959             0.058818           20175.321645           1.300698             0.556993             0.000000             0.000000             0.000000           91104.581344           0.402801             0.147108      
       12.80               5.025009              61282             19140.042311           1.889338             0.057411           20857.090962           1.309051             0.552176             0.000000             0.000000             0.000000           90902.575620           0.401914             0.143768      
       12.90               5.025009              60769             19316.797319           1.894465             0.061329           19922.814490           1.309102             0.559621             0.000000             0.000000             0.000000           91660.097084           0.407200             0.147079      
       13.00               5.025009              59914             18887.535157           1.896859             0.057065           20023.817352           1.313436             0.575633             0.000000             0.000000             0.000000           91988.356385           0.411715             0.146073      
       13.10               5.025009              59743             18887.535157           1.899295             0.054675           20478.330230           1.291316             0.581478             0.000000             0.000000             0.000000           91533.843507           0.411684             0.146439      
       13.20               5.025009              59754             18912.785872           1.899139             0.055678           20831.840246           1.273963             0.586283             0.000000             0.000000             0.000000           91155.082775           0.411859             0.144301      
       13.30               5.025009              59868             19140.042311           1.895712             0.059878           19948.065206           1.299374             0.567505             0.000000             0.000000             0.000000           91811.601376           0.411669             0.146150      
       13.40               5.025009              59655             19064.290165           1.897107             0.055071           19140.042311           1.320478             0.564992             0.000000             0.000000             0.000000           92695.376417           0.415975             0.149643      
       13.50               5.025009              59700             18811.783010           1.896471             0.055942           19695.558051           1.309889             0.566360            378.760732            0.324743             0.105475           92013.607100           0.417351             0.147396      
       13.60               5.025009              59384             18609.777287           1.898894             0.053600           20225.823076           1.300120             0.574506             0.000000             0.000000             0.000000           92064.108531           0.416731             0.147784      
       13.70               5.025009              59027             18584.526571           1.897815             0.055614           20427.828799           1.287117             0.586153            378.760732            0.330024             0.139206           91508.592791           0.418671             0.148922      
       13.80               5.025009              59273             18736.030864           1.897574             0.057600           19796.560913           1.303408             0.579890             0.000000             0.000000             0.000000           92367.117116           0.418374             0.148171      
       13.90               5.025009              59154             18710.780149           1.895806             0.053762           20377.327368           1.288982             0.573120             0.000000             0.000000             0.000000           91811.601376           0.416745             0.144539      
       14.00               5.025009              59207             18710.780149           1.894042             0.056730           20478.330230           1.284187             0.575344             0.000000             0.000000             0.000000           91710.598515           0.417215             0.145530      
       14.10               5.025009              59098             18887.535157           1.895959             0.054608           19847.062344           1.294197             0.570488             0.000000             0.000000             0.000000           92165.111393           0.417772             0.143890      
