        tauB               sizeBin             clust_size           bulk_area            bulk_ndens         bulk_ndens_std          int_area            int_ndens          int_ndens_std           bub_area            bub_ndens          bub_ndens_std           gas_area            gas_ndens          gas_ndens_std    
        6.90               5.016308              43044             14292.780500           1.891165             0.082157           13361.736700           1.255750             0.688344             0.000000             0.000000             0.000000           37795.345618           0.163803             0.085317      
        7.00               5.016308              43143             14091.473732           1.886389             0.080142           13336.573354           1.294186             0.676719             0.000000             0.000000             0.000000           38021.815732           0.161960             0.084314      
        7.10               5.016308              43289             13865.003619           1.881716             0.077238           13839.840273           1.292428             0.680792             0.000000             0.000000             0.000000           37745.018926           0.159571             0.082946      
        7.20               5.016308              43390             14217.290462           1.885169             0.075975           13261.083316           1.297028             0.676660             0.000000             0.000000             0.000000           37971.489040           0.157961             0.085636      
        7.30               5.016308              43408             13764.350235           1.886032             0.077267           13965.657003           1.301335             0.669876             0.000000             0.000000             0.000000           37719.855580           0.155515             0.083846      
        7.40               5.016308              43435             13311.410008           1.885375             0.080978           14997.354187           1.276092             0.688798             0.000000             0.000000             0.000000           37141.098623           0.155219             0.079534      
        7.50               5.016308              43159             13512.716776           1.887703             0.076353           14116.637078           1.304135             0.668787             0.000000             0.000000             0.000000           37820.508964           0.160812             0.087826      
        7.60               5.016308              43187             13613.370159           1.884985             0.077298           13789.513581           1.321656             0.661269             0.000000             0.000000             0.000000           38046.979078           0.160696             0.085258      
        7.70               5.016308              43134             13487.553430           1.890187             0.072376           14141.800424           1.299693             0.673814             0.000000             0.000000             0.000000           37820.508964           0.161976             0.083311      
        7.80               5.016308              43078             13412.063392           1.895831             0.073772           14418.597230           1.277517             0.689658            503.266919            0.210624             0.094127           37115.935278           0.162922             0.088035      
        7.90               5.016308              42858             13185.593278           1.901545             0.075655           13915.330311           1.326523             0.657560             0.000000             0.000000             0.000000           38348.939229           0.168662             0.089044      
        8.00               5.016308              42690             13437.226738           1.902550             0.071044           14166.963770           1.270350             0.686103             0.000000             0.000000             0.000000           37845.672310           0.170112             0.088362      
        8.10               5.016308              42769             13613.370159           1.900999             0.074639           13487.553430           1.300013             0.680119             0.000000             0.000000             0.000000           38348.939229           0.171765             0.089065      
        8.20               5.016308              42880             13437.226738           1.895257             0.080295           14569.577306           1.251786             0.704349             0.000000             0.000000             0.000000           37443.058775           0.168122             0.083237      
        8.30               5.016308              43040             13915.330311           1.889786             0.081585           14267.617154           1.233983             0.694855             0.000000             0.000000             0.000000           37266.915353           0.163604             0.084418      
        8.40               5.016308              42859             13386.900046           1.889310             0.085527           13814.676927           1.324750             0.655981             0.000000             0.000000             0.000000           38248.285845           0.167511             0.090120      
        8.50               5.016308              42714             13386.900046           1.891999             0.078365           13588.206813           1.333951             0.655242             0.000000             0.000000             0.000000           38474.755959           0.170138             0.085207      
        8.60               5.016308              42796             13764.350235           1.894895             0.079674           13286.246662           1.311356             0.663671             0.000000             0.000000             0.000000           38399.265921           0.169144             0.088482      
        8.70               5.016308              42904             13714.023543           1.897401             0.085447           13361.736700           1.315622             0.664437             0.000000             0.000000             0.000000           38374.102575           0.166779             0.086906      
        8.80               5.016308              43041             13613.370159           1.895196             0.087050           13865.003619           1.298016             0.684040             0.000000             0.000000             0.000000           37971.489040           0.163359             0.086326      
        8.90               5.016308              43175             14368.270538           1.891877             0.091731           12506.182938           1.325424             0.655258             0.000000             0.000000             0.000000           38575.409343           0.161787             0.084612      
        9.00               5.016308              43137             14066.310387           1.892181             0.090024           12933.959819           1.326431             0.654896             0.000000             0.000000             0.000000           38449.592613           0.161978             0.083298      
        9.10               5.016308              43089             13764.350235           1.897293             0.086652           13386.900046           1.317856             0.663079             0.000000             0.000000             0.000000           38298.612537           0.163009             0.087148      
        9.20               5.016308              43093             13965.657003           1.899946             0.088682           12657.163013           1.352278             0.648817             0.000000             0.000000             0.000000           38827.042802           0.163546             0.086068      
        9.30               5.016308              43110             14418.597230           1.897619             0.084967           11902.262635           1.365791             0.630175             0.000000             0.000000             0.000000           39129.002954           0.163127             0.086856      
        9.40               5.016308              43235             14141.800424           1.889717             0.084933           13110.103240           1.309753             0.674189             0.000000             0.000000             0.000000           38197.959153           0.159825             0.082665      
        9.50               5.016308              43369             14317.943846           1.885047             0.074873           13865.003619           1.241038             0.699429             0.000000             0.000000             0.000000           37266.915353           0.155715             0.079823      
        9.60               5.016308              43507             14192.127116           1.883368             0.078816           14217.290462           1.234623             0.700622             0.000000             0.000000             0.000000           37040.445240           0.154372             0.082165      
        9.70               5.016308              43400             13839.840273           1.879285             0.078847           14292.780500           1.272391             0.681621             0.000000             0.000000             0.000000           37317.242045           0.155558             0.084709      
        9.80               5.016308              43228             13613.370159           1.885132             0.078762           13462.390084           1.350355             0.647263             0.000000             0.000000             0.000000           38374.102575           0.160473             0.083854      
        9.90               5.016308              43086             13336.573354           1.888116             0.077400           14091.473732           1.326121             0.658009             0.000000             0.000000             0.000000           38021.815732           0.161276             0.083401      
       10.00               5.016308              42887             13462.390084           1.889040             0.075619           13437.226738           1.344251             0.650820             0.000000             0.000000             0.000000           38550.245997           0.168767             0.088097      
       10.10               5.016308              42800             13160.429932           1.892567             0.074879           14292.780500           1.305694             0.674198             0.000000             0.000000             0.000000           37996.652386           0.169252             0.083509      
       10.20               5.016308              42581             12959.123165           1.903370             0.071954           14015.983695           1.332479             0.658476             0.000000             0.000000             0.000000           38474.755959           0.173049             0.091648      
       10.30               5.016308              42386             12984.286511           1.909000             0.075942           13965.657003           1.313508             0.677950             0.000000             0.000000             0.000000           38499.919305           0.178416             0.089581      
       10.40               5.016308              42472             12757.816397           1.912004             0.069543           14670.230689           1.288460             0.695710           1182.677260            0.203775             0.113775           36839.138472           0.175466             0.088177      
       10.50               5.016308              42523             13563.043468           1.906873             0.066447           13286.246662           1.309098             0.671877             0.000000             0.000000             0.000000           38600.572689           0.174712             0.088287      
       10.60               5.016308              42816             13110.103240           1.905553             0.071292           14141.800424           1.313058             0.678992             0.000000             0.000000             0.000000           38197.959153           0.168831             0.085469      
       10.70               5.016308              42823             12933.959819           1.907846             0.074738           14343.107192           1.321192             0.681506             0.000000             0.000000             0.000000           38172.795807           0.166978             0.084510      
       10.80               5.016308              43045             13462.390084           1.900108             0.072229           14468.923922           1.261808             0.705119             0.000000             0.000000             0.000000           37518.548813           0.164265             0.085592      
       10.90               5.016308              43031             13764.350235           1.891916             0.066648           13412.063392           1.316651             0.669621             0.000000             0.000000             0.000000           38273.449191           0.164605             0.083875      
       11.00               5.016308              43014             13588.206813           1.887961             0.068170           14242.453808           1.272534             0.695412             0.000000             0.000000             0.000000           37619.202197           0.165394             0.084847      
       11.10               5.016308              42921             13412.063392           1.882484             0.069713           14393.433884           1.287670             0.685891             0.000000             0.000000             0.000000           37644.365542           0.165177             0.085591      
       11.20               5.016308              43056             13588.206813           1.882220             0.067910           13865.003619           1.310205             0.675118             0.000000             0.000000             0.000000           37996.652386           0.164699             0.085408      
       11.30               5.016308              42928             13789.513581           1.878746             0.073595           13965.657003           1.276202             0.680648             0.000000             0.000000             0.000000           37694.692234           0.166336             0.085132      
       11.40               5.016308              42943             13865.003619           1.877100             0.070148           13361.736700           1.315847             0.653056             0.000000             0.000000             0.000000           38223.122499           0.167229             0.087288      
       11.50               5.016308              42603             13462.390084           1.879978             0.070122           13990.820349           1.298923             0.666604             0.000000             0.000000             0.000000           37996.652386           0.171541             0.094745      
       11.60               5.016308              42480             13261.083316           1.893510             0.069641           14821.210765           1.240722             0.696154             0.000000             0.000000             0.000000           37367.568737           0.173974             0.086669      
       11.70               5.016308              42456             13009.449857           1.899773             0.071750           13965.657003           1.324678             0.662375             0.000000             0.000000             0.000000           38474.755959           0.176349             0.090288      
       11.80               5.016308              42445             13261.083316           1.902484             0.068340           13789.513581           1.304760             0.676533             0.000000             0.000000             0.000000           38399.265921           0.176540             0.085214      
       11.90               5.016308              42598             13210.756624           1.897469             0.065663           15299.314338           1.213584             0.721623             0.000000             0.000000             0.000000           36939.791856           0.172334             0.089042      
       12.00               5.016308              42807             13412.063392           1.890164             0.066648           14443.760576           1.266014             0.702245             0.000000             0.000000             0.000000           37594.038851           0.169256             0.087741      
       12.10               5.016308              42987             13714.023543           1.885734             0.064664           14796.047419           1.218907             0.716504             0.000000             0.000000             0.000000           36939.791856           0.165242             0.083850      
       12.20               5.016308              43029             13940.493657           1.879489             0.070166           13764.350235           1.278012             0.682969             0.000000             0.000000             0.000000           37745.018926           0.164472             0.084596      
       12.30               5.016308              42958             13839.840273           1.878634             0.068855           13487.553430           1.307724             0.678083             0.000000             0.000000             0.000000           38122.469116           0.166883             0.087412      
       12.40               5.016308              43120             14116.637078           1.873534             0.075284           13890.166965           1.254053             0.700543             0.000000             0.000000             0.000000           37443.058775           0.163795             0.085035      
       12.50               5.016308              43179             14393.433884           1.871062             0.074517           13663.696851           1.248564             0.688310             0.000000             0.000000             0.000000           37392.732083           0.160700             0.085225      
       12.60               5.016308              43228             14242.453808           1.870043             0.073464           13588.206813           1.276180             0.675201             0.000000             0.000000             0.000000           37619.202197           0.160158             0.081707      
       12.70               5.016308              43052             13487.553430           1.873060             0.078428           15072.844225           1.242897             0.700461             0.000000             0.000000             0.000000           36889.465164           0.162729             0.087283      
       12.80               5.016308              43028             13965.657003           1.874312             0.073994           13160.429932           1.327616             0.655558             0.000000             0.000000             0.000000           38323.775883           0.165746             0.085172      
       12.90               5.016308              42948             13437.226738           1.876875             0.069731           14343.107192           1.289470             0.685125             0.000000             0.000000             0.000000           37669.528888           0.166846             0.088129      
       13.00               5.016308              42979             13739.186889           1.879660             0.066096           13990.820349           1.282913             0.676621             0.000000             0.000000             0.000000           37719.855580           0.165059             0.086054      
       13.10               5.016308              43006             13462.390084           1.878270             0.063264           14091.473732           1.306961             0.680419             0.000000             0.000000             0.000000           37895.999002           0.166165             0.085980      
       13.20               5.016308              43177             14242.453808           1.878749             0.065360           12808.143089           1.326031             0.657665             0.000000             0.000000             0.000000           38399.265921           0.162972             0.081401      
       13.30               5.016308              43078             13739.186889           1.875075             0.066387           13739.186889           1.310267             0.666551             0.000000             0.000000             0.000000           37971.489040           0.164228             0.085992      
       13.40               5.016308              43181             14368.270538           1.875869             0.067029           12933.959819           1.300066             0.664144             0.000000             0.000000             0.000000           38147.632462           0.163365             0.085622      
       13.50               5.016308              43196             13437.226738           1.876057             0.072063           15123.170916           1.245175             0.708686             0.000000             0.000000             0.000000           36889.465164           0.161564             0.084981      
       13.60               5.016308              43265             13412.063392           1.874879             0.068726           14972.190841           1.264411             0.695235             0.000000             0.000000             0.000000           37065.608586           0.159798             0.084212      
       13.70               5.016308              43045             13412.063392           1.875103             0.072827           14192.127116           1.312629             0.661031             0.000000             0.000000             0.000000           37845.672310           0.164405             0.088648      
       13.80               5.016308              42901             13512.716776           1.880081             0.073496           14166.963770           1.291738             0.669772             0.000000             0.000000             0.000000           37770.182272           0.166666             0.088373      
       13.90               5.016308              42892             13412.063392           1.886734             0.071284           13965.657003           1.309856             0.668792             0.000000             0.000000             0.000000           38072.142424           0.168154             0.086554      
       14.00               5.016308              42829             13311.410008           1.891535             0.069871           14796.047419           1.254930             0.692880             0.000000             0.000000             0.000000           37342.405391           0.167450             0.086614      
       14.10               5.016308              42670             13789.513581           1.892235             0.074845           12933.959819           1.332925             0.652171             0.000000             0.000000             0.000000           38726.389418           0.172157             0.087115      
