      tauB          sizeBin        clust_size       Na_bulk         Nb_bulk        NBin_bulk         Na_gas          Nb_gas         NBin_gas         Na_int          Nb_int         NBin_int         Na_bub          Nb_bub         NBin_bub   
      8.90          5.016308         42339           17910            7657            546             2417            4403            1502            4673           12940            553              0               0               0       
      9.00          5.016308         42497           17949            7771            550             2321            4259            1479            4730           12970            572              0               0               0       
      9.10          5.016308         42499           17782            7741            547             2409            4355            1512            4809           12904            542              0               0               0       
      9.20          5.016308         42618           17932            7544            546             2337            4187            1482            4731           13269            573              0               0               0       
      9.30          5.016308         42507           17722            7689            545             2431            4348            1510            4847           12963            546              0               0               0       
      9.40          5.016308         42464           17875            7881            553             2391            4309            1496            4734           12810            552              0               0               0       
      9.50          5.016308         42546           18200            8150            566             2391            4245            1490            4409           12605            545              0               0               0       
      9.60          5.016308         42598           18198            7737            558             2396            4216            1489            4406           13047            554              0               0               0       
      9.70          5.016308         42659           18173            7799            560             2344            4122            1473            4483           13079            568              0               0               0       
      9.80          5.016308         42785           18393            8292            576             2262            4098            1468            4345           12610            557              0               0               0       
      9.90          5.016308         42787           18075            7231            546             2259            4019            1465            4666           13750            590              0               0               0       
     10.00          5.016308         42645           18046            7425            549             2293            4153            1483            4661           13422            569              0               0               0       
     10.10          5.016308         42741           18317            7836            563             2254            4197            1491            4429           12967            547              0               0               0       
     10.20          5.016308         42782           18214            7279            548             2298            4219            1501            4488           13502            552              0               0               0       
     10.30          5.016308         42757           18364            7494            555             2301            4143            1486            4335           13363            560              0               0               0       
     10.40          5.016308         42796           18515            7766            566             2303            4185            1488            4182           13049            547              0               0               0       
     10.50          5.016308         42788           18394            7654            562             2316            4156            1493            4290           13190            546              0               0               0       
     10.60          5.016308         42606           18189            6889            542             2340            4146            1480            4471           13965            579              0               0               0       
     10.70          5.016308         42475           18235            7206            550             2363            4388            1497            4402           13406            554              0               0               0       
     10.80          5.016308         42427           18087            6458            530             2256            4110            1410            4577           14272            610              80             160              51      
     10.90          5.016308         42269           18313            7082            548             2382            4571            1494            4305           13347            559              0               0               0       
     11.00          5.016308         42154           18223            7253            551             2350            4532            1474            4427           13215            576              0               0               0       
     11.10          5.016308         42179           18483            7779            570             2382            4699            1500            4135           12522            531              0               0               0       
     11.20          5.016308         42222           18490            7918            575             2375            4666            1495            4135           12416            531              0               0               0       
     11.30          5.016308         42136           17973            7046            544             2363            4648            1483            4664           13306            574              0               0               0       
     11.40          5.016308         42085           17887            6913            538             2392            4610            1488            4721           13477            575              0               0               0       
     11.50          5.016308         42113           18028            7071            542             2421            4558            1492            4551           13371            567              0               0               0       
     11.60          5.016308         42263           17990            6930            535             2329            4354            1464            4681           13716            602              0               0               0       
     11.70          5.016308         42423           18052            7041            536             2299            4369            1477            4649           13590            588              0               0               0       
     11.80          5.016308         42504           17948            6883            530             2297            4395            1498            4755           13722            573              0               0               0       
     11.90          5.016308         42298           17936            6590            523             2320            4439            1487            4744           13971            591              0               0               0       
     12.00          5.016308         42415           18056            6829            531             2278            4441            1488            4666           13730            582              0               0               0       
     12.10          5.016308         42423           18154            6885            536             2236            4264            1460            4610           13851            605              0               0               0       
     12.20          5.016308         42434           18038            7007            537             2290            4365            1490            4672           13628            574              0               0               0       
     12.30          5.016308         42449           17914            6635            525             2307            4438            1500            4779           13927            576              0               0               0       
     12.40          5.016308         42473           18111            7258            543             2290            4456            1496            4599           13286            562              0               0               0       
     12.50          5.016308         42459           18180            7791            558             2321            4473            1509            4499           12736            534              0               0               0       
     12.60          5.016308         42453           18072            7485            549             2327            4406            1493            4601           13109            559              0               0               0       
     12.70          5.016308         42539           18224            7675            556             2321            4339            1487            4455           12986            558              0               0               0       
     12.80          5.016308         42303           17669            6506            516             2298            4430            1482            5033           14064            603              0               0               0       
     12.90          5.016308         42224           17953            7044            532             2349            4529            1498            4698           13427            571              0               0               0       
     13.00          5.016308         42266           17795            6578            517             2304            4479            1496            4901           13943            588              0               0               0       
     13.10          5.016308         42445           17757            6611            517             2316            4407            1502            4927           13982            582              0               0               0       
     13.20          5.016308         42543           17939            7046            531             2293            4295            1482            4768           13659            588              0               0               0       
     13.30          5.016308         42569           18090            7432            545             2223            4218            1459            4687           13350            597              0               0               0       
     13.40          5.016308         42847           18166            7553            551             2219            4126            1474            4615           13321            576              0               0               0       
     13.50          5.016308         42827           18039            7513            548             2260            4160            1494            4701           13327            559              0               0               0       
     13.60          5.016308         42619           18136            7515            551             2296            4296            1498            4568           13189            552              0               0               0       
     13.70          5.016308         42474           18120            7445            548             2352            4432            1513            4528           13123            540              0               0               0       
     13.80          5.016308         42493           17816            6807            527             2252            4244            1463            4886           13864            590              46              85              21      
     13.90          5.016308         42575           18177            7672            554             2304            4367            1500            4519           12961            547              0               0               0       
     14.00          5.016308         42667           18356            8327            573             2292            4294            1504            4352           12379            524              0               0               0       
     14.10          5.016308         42682           18246            8051            566             2295            4253            1492            4459           12696            543              0               0               0       
     14.20          5.016308         42666           18326            8048            568             2328            4315            1502            4346           12637            531              0               0               0       
     14.30          5.016308         42755           18253            7801            562             2293            4193            1479            4454           13006            560              0               0               0       
     14.40          5.016308         42744           18120            7552            553             2268            4135            1467            4612           13313            581              0               0               0       
     14.50          5.016308         42736           18081            7286            548             2217            4049            1434            4702           13665            619              0               0               0       
     14.60          5.016308         42505           17946            6860            536             2137            3873            1372            4764           13948            599             153             319              94      
     14.70          5.016308         42228           18149            7275            550             2379            4532            1497            4472           13193            554              0               0               0       
     14.80          5.016308         42196           18068            6926            541             2508            4674            1523            4424           13400            537              0               0               0       
     14.90          5.016308         42047           18144            7120            547             2486            4707            1506            4370           13173            548              0               0               0       
     15.00          5.016308         42089           17888            6640            531             2388            4523            1458            4724           13837            612              0               0               0       
     15.10          5.016308         42212           17974            6771            534             2386            4504            1481            4640           13725            586              0               0               0       
     15.20          5.016308         42195           17934            6608            529             2379            4464            1477            4687           13928            595              0               0               0       
     15.30          5.016308         42252           17901            6267            519             2366            4401            1475            4733           14332            607              0               0               0       
     15.40          5.016308         42440           18197            6912            538             2373            4323            1490            4430           13765            573              0               0               0       
     15.50          5.016308         42569           18080            6481            526             2281            4148            1463            4639           14371            612              0               0               0       
     15.60          5.016308         42621           18199            7050            542             2350            4353            1510            4451           13597            549              0               0               0       
     15.70          5.016308         42551           18138            7059            541             2334            4356            1498            4528           13585            562              0               0               0       
     15.80          5.016308         42463           17779            6416            519             2314            4306            1480            4907           14278            602              0               0               0       
     15.90          5.016308         42458           18039            7147            540             2418            4407            1512            4543           13446            549              0               0               0       
     16.00          5.016308         42414           17651            6825            524             2379            4399            1503            4970           13776            574              0               0               0       
     16.10          5.016308         42347           18023            7435            545             2388            4449            1508            4589           13116            548              0               0               0       
