        tauB              sizeBin_x            sizeBin_y            clust_size               r                  all_XX               all_YY               all_XY               all_YX             all_press           all_num_dens             A_XX                 A_YY                 A_XY                 A_YX               A_press             A_num_dens              B_XX                 B_YY                 B_XY                 B_YX               B_press             B_num_dens     
    0.000000000          5.016308000          5.016308000             30433             97.459687733       108993.031741375     108580.243071348      -272.435589325       -272.435589325        59.256371764         0.492411213        54266.469666704      51680.195077347      -2710.240480672      -2710.240480672        28.854715537         0.345886195        54726.562074671      56900.047994002       2437.804891348       2437.804891348        30.401656227         0.146525018     
    0.000000000          5.016308000          5.016308000             30433            100.505302974       84331.581553589      77889.270664559       476.815648451        476.815648451         42.821648195         0.501017515        61890.522816329      56317.684777111       575.093985040        575.093985040         31.203573463         0.359000959        22441.058737260      21571.585887449       -98.278336589        -98.278336589         11.618074733         0.142016556     
    0.000000000          5.016308000          5.016308000             30433            103.550918216       73294.418876085      69572.971058214      -1641.220633053      -1641.220633053        36.587131820         0.458916064        49177.342756531      50196.080015476      -1394.156101475      -1394.156101475        25.448694206         0.326772822        24117.076119554      19376.891042738       -247.064531579       -247.064531579        11.138437615         0.132143242     
    0.000000000          5.016308000          5.016308000             30433            106.596533457       73620.806534745      73929.082921970       -427.363031920       -427.363031920        36.691025892         0.466502312        54400.405847672      51362.198580124       -972.731206189       -972.731206189        26.299839816         0.330729251        19220.400687073      22566.884341846       545.368174269        545.368174269         10.391186077         0.135773061     
    0.000000000          5.016308000          5.016308000             30433            109.642148699       80066.459058148      88176.221085779      -2116.703919303      -2116.703919303        40.658175544         0.464961267        56705.881822514      64144.510039760       -117.457427485       -117.457427485        29.205172212         0.327212867        23360.577235635      24031.711046018      -1999.246491818      -1999.246491818        11.453003333         0.137748400     
    0.000000000          5.016308000          5.016308000             30433            112.687763941       76654.852436158      78342.473019975        71.498505851         71.498505851         36.431025918         0.432008910        55305.297677225      56773.468185811       -955.831348769       -955.831348769        26.343321809         0.305555812        21349.554758934      21569.004834164       1027.329854620       1027.329854620        10.087704109         0.126453098     
    0.000000000          5.016308000          5.016308000             30433            115.733379182       79942.188475765      76650.681890731       1789.101385388       1789.101385388        35.824552873         0.449771888        61177.105660122      57788.865179811       1698.770832151       1698.770832151        27.216454379         0.327605973        18765.082815643      18861.816710920        90.330553238         90.330553238         8.608098494          0.122165915     
    0.000000000          5.016308000          5.016308000             30433            118.778994424       77828.398188479      81233.163088767      -2684.351138817      -2684.351138817        35.444150586         0.447448484        55681.384637741      58607.592526951      -2172.383922428      -2172.383922428        25.467345375         0.319096727        22147.013550738      22625.570561816       -511.967216389       -511.967216389        9.976805211          0.128351756     
    0.000000000          5.016308000          5.016308000             30433            121.824609666       92435.675410234      87726.434440224       431.211915192        431.211915192         39.129691604         0.460880513        65004.944284501      61765.747863971       563.133956874        563.133956874         27.533525736         0.321877908        27430.731125733      25960.686576253       -131.922041682       -131.922041682        11.596165868         0.139002605     
    0.000000000          5.016308000          5.016308000             30433            124.870224907       88456.203764926      88084.886665201      -3528.409579582      -3528.409579582        37.396490123         0.447806117        63960.882271284      61479.743322073      -1494.232380175      -1494.232380175        26.571939171         0.320708827        24495.321493642      26605.143343128      -2034.177199406      -2034.177199406        10.824550952         0.127097289     
    0.000000000          5.016308000          5.016308000             30433            127.915840149       87871.345070605      88685.983033544      -1876.308651932      -1876.308651932        36.498726604         0.452726670        60960.464327368      63559.103787841      -1634.174432413      -1634.174432413        25.741246327         0.316288496        26910.880743237      25126.879245703       -242.134219519       -242.134219519        10.757480278         0.136438175     
    0.000000000          5.016308000          5.016308000             30433             3.045615242        204061.539834181     205339.260796326     -1032.752922624      -1032.752922624       7024.553829093        2.024659821        73459.741615178      78555.641017439      -2318.380631890      -2318.380631890       2608.300317216        0.789274168        130601.798219003     126783.619778887      1285.627709266       1285.627709266       4416.253511877        1.235385654     
    0.000000000          5.016308000          5.016308000             30433             6.091230483        589123.228972892     597328.554544841     -3982.449056705      -3982.449056705       6785.766259786        1.967466041        191047.344365816     198167.653821567     -5115.261844386      -5115.261844386       2226.067708097        0.652009095        398075.884607076     399160.900723274      1132.812787682       1132.812787682       4559.698551689        1.315456946     
    0.000000000          5.016308000          5.016308000             30433             9.136845725        961933.393130820     988932.008527002     -14916.055329322     -14916.055329322      6694.642026179        1.969753792        341002.315258945     352362.167611673     -2897.233930749      -2897.233930749       2379.368152483        0.700051870        620931.077871875     636569.840915329     -12018.821398573     -12018.821398573      4315.273873696        1.269701922     
    0.000000000          5.016308000          5.016308000             30433             12.182460967      1382529.606860108    1412708.785143023     -23327.282362385     -23327.282362385      6851.582158795        1.990343553        537730.673922969     544535.080532617      332.400440294        332.400440294        2652.808703371        0.764762548        844798.932937139     868173.704610406     -23659.682802679     -23659.682802679      4198.773455424        1.225581006     
    0.000000000          5.016308000          5.016308000             30433             15.228076208      1776406.882476381    1778980.062340580     -20571.558469326     -20571.558469326      6778.200655597        1.975091878        563965.291088943     549022.265998000     -5279.868730963      -5279.868730963       2121.865525809        0.617692827       1212441.591387438    1229957.796342581     -15291.689738363     -15291.689738363      4656.335129788        1.357399052     
    0.000000000          5.016308000          5.016308000             30433             18.273691450      2126730.937565835    2174294.838894863     -42799.041852486     -42799.041852486      6708.870631628        1.962266606        768120.044402274     790056.975970004     -19221.263017046     -19221.263017046      2430.491839427        0.720641631       1358610.893163561    1384237.862924859     -23577.778835441     -23577.778835441      4278.378792201        1.241624975     
    0.000000000          5.016308000          5.016308000             30433             21.319306691      2559327.209764532    2605395.865152026     -30481.386294399     -30481.386294399      6816.693153701        2.003542118        873691.303724326     894138.651146953     -2798.791200407      -2798.791200407       2333.281799523        0.686325363       1685635.906040205    1711257.214005073     -27682.595093993     -27682.595093993      4483.411354178        1.317216755     
    0.000000000          5.016308000          5.016308000             30433             24.364921933      2883768.044909871    2925837.639980581     -54100.757343408     -54100.757343408      6645.466218999        1.953739534        950487.819884942     965457.867654079     -16452.221867908     -16452.221867908      2191.603532937        0.647433593       1933280.225024929    1960379.772326502     -37648.535475500     -37648.535475500      4453.862686062        1.306305941     
    0.000000000          5.016308000          5.016308000             30433             27.410537175      3315689.700104875    3394066.328982164     -58470.412062690     -58470.412062690      6772.170210682        1.972176117       1129479.048443947    1170654.821501188     -23101.281730328     -23101.281730328      2321.529725834        0.674213739       2186210.651660929    2223411.507480976     -35369.130332362     -35369.130332362      4450.640484847        1.297962378     
    0.000000000          5.016308000          5.016308000             30433             30.456152416      3703810.677964159    3771101.554613863     -65649.895362351     -65649.895362351      6750.291911165        1.979506837       1326201.197496488    1349741.502578494     -29671.479386881     -29671.479386881      2416.535980761        0.713417154       2377609.480467672    2421360.052035370     -35978.415975469     -35978.415975469      4333.755930404        1.266089683     
    0.000000000          5.016308000          5.016308000             30433             33.501767658      4095427.397848986    4174866.410826629     -33636.272195925     -33636.272195925      6757.276668497        1.975636581       1433321.111986935    1469250.635592777     -11124.043710790     -11124.043710790      2371.557867507        0.689593579       2662106.285862051    2705615.775233851     -22512.228485135     -22512.228485135      4385.718800990        1.286043002     
    0.000000000          5.016308000          5.016308000             30433             36.547382900      4366452.380619735    4382522.522220212     -49774.226480681     -49774.226480681      6526.786279695        1.973931425       1546771.279803969    1544756.098698885     -26907.983321851     -26907.983321851      2306.297446432        0.689309386       2819681.100815766    2837766.423521327     -22866.243158829     -22866.243158829      4220.488833264        1.284622038     
    0.000000000          5.016308000          5.016308000             30433             39.592998141      4418878.079247277    4482118.570176294     -35145.393487142     -35145.393487142      6108.979757749        1.995834156       1618751.266013935    1634037.941138927     -7415.762915669      -7415.762915669       2232.471733826        0.723386933       2800126.813233342    2848080.629037366     -27729.630571474     -27729.630571474      3876.508023923        1.272447223     
    0.000000000          5.016308000          5.016308000             30433             42.638613383      4113377.967693609    4155140.664949287     -15241.026074744     -15241.026074744      5254.531530743        1.982717716       1434045.117603680    1438899.791273418     -4866.806486160      -4866.806486160       1825.717553588        0.707931902       2679332.850089929    2716240.873675869     -10374.219588584     -10374.219588584      3428.813977155        1.274785813     
    0.000000000          5.016308000          5.016308000             30433             45.684228625      3856580.633857138    3782394.185578223     -18855.840665420     -18855.840665420      4519.674281887        1.964310522       1274837.011882206    1234703.120741611     -7013.552567946      -7013.552567946       1484.794002452        0.647275817       2581743.621974931    2547691.064836612     -11842.288097474     -11842.288097474      3034.880279434        1.317034705     
    0.000000000          5.016308000          5.016308000             30433             48.729843866      3884819.869093568    3811389.829753721     -6829.283042940      -6829.283042940       4259.761222891        1.936101710       1280310.036195145    1235984.134469887     -3325.422425433      -3325.422425433       1392.739121336        0.628762591       2604509.832898423    2575405.695283834     -3503.860617508      -3503.860617508       2867.022101556        1.307339119     
    0.000000000          5.016308000          5.016308000             30433             51.775459108      4042822.131263811    4015447.082365791      2273.880463897       2273.880463897       4189.844351778        1.940428981       1362335.057825180    1357622.679229662     -2599.806299096      -2599.806299096       1414.224228498        0.674886607       2680487.073438630    2657824.403136129      4873.686762992       4873.686762992       2775.620123280        1.265542374     
    0.000000000          5.016308000          5.016308000             30433             54.821074350      4091385.791268809    3983088.410906092       62.752979684         62.752979684        3958.368884997        1.864844058       1468575.529877600    1438258.042953743     -3369.263641974      -3369.263641974       1425.024005335        0.673579321       2622810.261391209    2544830.367952349      3432.016621658       3432.016621658       2533.344879662        1.191264737     
    0.000000000          5.016308000          5.016308000             30433             57.866689591      3878703.426938900    3803889.606441036     -17194.668318857     -17194.668318857      3562.674630752        1.785373411       1360175.611306901    1347525.051717753     -4788.392693319      -4788.392693319       1255.651108671        0.599143493       2518527.815631999    2456364.554723283     -12406.275625538     -12406.275625538      2307.023522082        1.186229918     
    0.000000000          5.016308000          5.016308000             30433             60.912304833      3517693.031184664    3496998.781704355     12181.100243787      12181.100243787       3086.128785780        1.521354555       1321484.676099880    1290210.214865286     -2114.841646633      -2114.841646633       1149.020797731        0.544660769       2196208.355084784    2206788.566839069     14295.941890420      14295.941890420       1937.107988049        0.976693786     
    0.000000000          5.016308000          5.016308000             30433             63.957920074      2973123.544271117    2910362.127920265     28863.162426402      28863.162426402       2462.186244215        1.264680029        933954.793793181     928945.714115958      3484.154184248       3484.154184248       779.607236335         0.422675986       2039168.750477936    1981416.413804307     25379.008242154      25379.008242154       1682.579007880        0.842004043     
    0.000000000          5.016308000          5.016308000             30433             67.003535316      2771120.081833950    2724353.594975909      4869.816531338       4869.816531338       2192.838934232        1.073380946        955706.223069197     927345.736917342      1041.830093918       1041.830093918       751.387395497         0.380671161       1815413.858764753    1797007.858058568      3827.986437420       3827.986437420       1441.451538735        0.692709785     
