    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     15.200        38946.795       195273.282       3310.969        3310.969       202411.593      202153.407      23779.862      48257432.163     -62296.766      -62296.766     48548829.893    48340834.262       615.3           41660     
     15.300        38968.388       192570.151      -8986.766       -8986.766       208336.836      191466.728      23721.434      49390002.178     50011.552       50011.552      48906441.273    49198233.277       639.0           41703     
     15.400        38984.900       200587.538       1153.794        1153.794       195933.377      199414.252      23739.217      49660778.357     -50914.213      -50914.213     49050667.719    49304808.826       623.2           41764     
     15.500        38851.533       188370.375       5011.465        5011.465       188969.180      193681.243      23777.321      49857893.997    -125300.914     -125300.914     49403383.143    49505337.656       652.5           41854     
     15.600        38781.675       193653.253       3120.946        3120.946       191949.826      195922.486      23802.724      49409791.591     158047.875      158047.875     49090680.425    49408283.883       663.8           41824     
     15.700        38850.263       204840.851       7927.453        7927.453       193576.088      207135.922      23803.994      49581905.469     333501.125      333501.125     49225775.263    49737341.491       650.3           41766     
     15.800        38875.666       206506.338      -4379.479       -4379.479       203840.776      200794.078      23734.136      49326418.007     465704.924      465704.924     48938552.908    49598190.382       662.7           41691     
     15.900        39007.762       209084.940      -2639.179       -2639.179       204802.852      204304.717      23721.434      48642019.853     456909.732      456909.732     48683266.239    49119552.778       625.5           41620     
     16.000        38901.069       199239.087      -2945.519       -2945.519       203125.331      198236.689      23756.999      47281490.869     396886.724      396886.724     47744539.678    47909901.998       648.0           41575     
     16.100        38746.110       204116.403       3605.758        3605.758       199092.550      205210.235      23762.079      46973563.429     426459.243      426459.243     46594898.176    47210690.046       702.1           41584     
     16.200        38893.448       212804.390      -2678.033       -2678.033       205279.100      206363.712      23777.321      46754396.879     318839.461      318839.461     46675075.814    47033575.807       644.7           41457     
     16.300        39078.891       216988.880       5661.748        5661.748       220416.580      224364.478      23678.249      46668173.247     313764.368      313764.368     46873247.624    47084474.804       634.5           41374     
     16.400        38963.307       208061.875       529.005         529.005        210769.297      209944.591      23734.136      46209514.788     444480.344      444480.344     46643008.291    46870741.884       636.8           41370     
     16.500        38981.089       211746.377       2261.457        2261.457       214205.519      215237.405      23652.846      46301977.813     737731.738      737731.738     46884987.289    47331214.289       655.9           41379     
     16.600        38983.629       214198.529      -4291.331       -4291.331       221311.542      213463.705      23703.652      46449679.232     435056.741      435056.741     47242257.784    47281025.249       636.8           41444     
     16.700        38922.662       218463.568       3505.971        3505.971       218086.758      221781.134      23838.289      46204147.965     395459.736      395459.736     46840619.223    46917843.330       624.4           41498     
     16.800        38836.291       226537.165       2129.174        2129.174       225744.794      228270.154      23861.152      46177629.100     264771.685      264771.685     46686585.959    46696879.214       635.6           41525     
     16.900        38765.163       200389.230       1694.315        1694.315       197374.678      200576.268      23833.208      46386776.801     311073.574      311073.574     46475577.161    46742250.555       661.6           41558     
     17.000        38930.283       216140.764      -2312.146       -2312.146       217840.799      214678.636      23737.946      46759955.033     142307.488      142307.488     46805909.871    46925239.940       655.9           41465     
     17.100        38937.904       206058.830       4428.886        4428.886       216579.385      215747.994      23725.245      47015679.722     81405.364       81405.364      46497903.579    46838197.015       646.9           41435     
     17.200        38995.061       221171.873       -162.439        -162.439       219763.250      220305.123      23696.031      47711108.135     112963.543      112963.543     46950065.137    47443550.179       644.7           41454     
     17.300        38824.860       201835.178       1508.896        1508.896       206614.610      205733.789      23798.914      47800857.751    -138872.021     -138872.021     46894902.742    47209008.226       664.9           41606     
     17.400        38809.618       210135.703      -5287.839       -5287.839       214165.441      206862.733      23837.019      47403627.692     -49458.072      -49458.072     46979620.970    47142166.259       649.2           41581     
     17.500        38888.368       213808.007      -3582.753       -3582.753       205417.627      206030.064      23782.402      47186197.882     -36791.450      -36791.450     46667326.572    46889970.777       652.5           41477     
