    Timestep        gasArea         gasSigXX        gasSigXY        gasSigYX        gasSigYY        gasTrace        bulkArea       bulkSigXX       bulkSigXY       bulkSigYX       bulkSigYY       bulkTrace         Length          NDense    
     9.800         40500.196       241118.562      -8072.958       -8072.958       255585.572      240279.109      22251.864      82566213.102     43127.612       43127.612      81177156.982    81914812.654       631.1           42079     
     9.900         40462.091       242442.950      -3898.687       -3898.687       243217.426      238931.501      22345.855      82528911.160    -191913.735     -191913.735     81586237.113    81865660.401       618.7           42103     
     10.000        40468.442       244848.719      -4520.741       -4520.741       239587.115      237697.176      22250.594      83476829.559     580011.333      580011.333     82728572.206    83682712.216       623.2           42108     
     10.100        40580.216       237270.958      -7304.980       -7304.980       243280.080      232970.539      22237.892      84943940.302     197780.256      197780.256     84507633.976    84923567.395       609.7           42217     
     10.200        40585.296       250341.690       4951.360        4951.360       241102.362      250673.386      22203.598      84962318.508    -146454.053     -146454.053     85028758.426    84849084.414       614.2           42241     
     10.300        40305.862       222383.716      -1854.541       -1854.541       225614.424      222144.529      22432.226      84829022.508    -482774.045     -482774.045     84617053.849    84240264.133       621.0           42597     
     10.400        40322.374       213159.117      -3347.758       -3347.758       213625.685      210044.643      22483.032      85216922.060    -336019.812     -336019.812     84692547.243    84618714.839       598.4           42679     
     10.500        40108.988       210086.640       4734.329        4734.329       218170.864      218863.081      22602.427      83185479.488    -148508.776     -148508.776     83834312.257    83361387.096       637.9           42804     
     10.600        39998.484       203038.975       1160.520        1160.520       205363.867      205361.940      22679.906      81244287.497     140420.249      140420.249     82506854.307    82015991.151       644.7           42772     
     10.700        39989.593       211597.017       -250.560        -250.560       195606.672      203351.284      22665.935      82241357.620     200512.466      200512.466     82138806.026    82390594.289       650.3           42772     
     10.800        40144.552       210850.849       2565.184        2565.184       210049.047      213015.131      22611.318      82218070.937     166459.251      166459.251     81562066.404    82056527.921       615.3           42655     
     10.900        40027.698       208152.832       3818.681        3818.681       206885.009      211337.602      22673.556      82269986.851     -46859.831      -46859.831     81224832.198    81700549.693       635.6           42735     
     11.000        40126.770       209144.831       642.034         642.034        212207.169      211318.034      22566.863      82547449.836     71689.446       71689.446      82216241.773    82453535.251       636.8           42696     
     11.100        40073.423       195107.429       1827.214        1827.214       195977.710      197369.784      22721.822      82974327.001     209380.508      209380.508     81818887.330    82605987.673       608.6           42869     
     11.200        39940.057       202402.896       1877.431        1877.431       202192.649      204175.204      22729.442      82393585.683    -872059.199     -872059.199     80951997.169    80800732.227       634.5           42842     
