        tauB               sizeBin             clust_size          interface_id            bub_id               r_min                r_max                align               num_dens              press        
        0.70               5.016308              39163                  3                    2                123.987952           127.012048            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                127.012048           130.036145            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                130.036145           133.060241            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                133.060241           136.084337            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                136.084337           139.108434            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                139.108434           142.132530            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                142.132530           145.156627            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                145.156627           148.180723            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                148.180723           151.204819            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                151.204819           154.228916            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                154.228916           157.253012            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                157.253012           160.277108            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                160.277108           163.301205            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                163.301205           166.325301            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                166.325301           169.349398            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                169.349398           172.373494            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                172.373494           175.397590            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                175.397590           178.421687            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                178.421687           181.445783            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                181.445783           184.469880            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                184.469880           187.493976            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                187.493976           190.518072            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                190.518072           193.542169            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                193.542169           196.566265            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                196.566265           199.590361            0.000000             0.000000             0.000000      
        0.70               5.016308              39163                  3                    2                199.590361           202.614458            0.000000             0.000000             0.000000      
