      tauB          sizeBin        clust_size        int_id          bub_id            Na              Nb            radius        radius_err        sa_ext          sa_int        edge_width    edge_width_err       NBin     
      5.30          5.016308         40025             2               2              8422            8908         96.702415        5.493440       666.341861      499.171568      24.006384       11.230228          653      
      5.40          5.016308         40082             1               1              8313            8207         95.501245        6.896912       671.230225      505.939297      21.849561       12.678916          601      
      5.50          5.016308         40117             2               2              8207            7928         95.554129        5.796643       653.781959      501.473665      21.179053       11.210712          594      
      5.60          5.016308         40039             1               1              7995            8205         95.116843        4.719084       650.201386      501.802494      20.886489       10.033912          587      
      5.70          5.016308         40026             1               1              7849            7867         94.780436        4.676921       642.912447      504.560071      19.863830       10.156552          566      
      5.80          5.016308         40033             3               3              8252            8374         96.532634        6.407217       667.815534      507.948311      22.576068       12.442717          621      
      5.80          5.016308         40033             3               4               74              76           8.206286        1.511006       55.394269        0.000000        8.206286        1.511006           18      
      5.80          5.016308         40033             3               1               68              72           8.956961        2.185159       63.643310        0.000000        8.956961        2.185159           21      
      5.90          5.016308         40012             2               2              7957            8122         95.953449        8.404171       671.970475      523.626793      21.525916       15.008191          592      
      6.00          5.016308         39984             3               3              8110            8308         95.103351        5.838440       659.357825      507.308115      20.989004       12.382512          592      
      6.00          5.016308         39984             3               5               73              62           7.576483        2.291202       57.311802        0.000000        7.576483        2.291202           21      
      6.10          5.016308         39962             3               3              8607            8967         96.209964        6.368903       665.542254      487.084040      23.681407       12.505115          641      
      6.20          5.016308         39869             2               2              8204            8603         93.754744        5.269686       634.274049      496.919740      20.802757       11.327837          578      
      6.20          5.016308         39869             2               1               54              47           8.493037        3.613095       66.529114        0.000000        8.493037        3.613095           18      
      6.30          5.016308         39812             4               4              8111            8300         95.074044        5.898651       665.639204      502.945192      21.194913       12.123775          591      
      6.40          5.016308         39803             1               1              8779            8859         94.949200        5.747978       648.798151      487.119524      22.563925       11.848335          678      
      6.50          5.016308         39803             2               2              8121            7862         95.018232        5.789176       676.257168      498.300661      20.759746       11.625711          589      
      6.60          5.016308         39853             3               3              8281            7950         96.595172        7.002415       725.502762      495.619087      22.320995       12.440806          616      
      6.70          5.016308         40007             1               1              8163            8040         94.140916        5.326997       639.618194      491.231329      20.374088       10.882792          572      
      6.80          5.016308         39957             1               1              7784            7853         95.359574        6.100239       692.648973      506.965794      20.558108       11.739329          571      
      6.90          5.016308         39986             2               2              8259            8496         95.919427       26.586433      1241.356723      510.511974      22.553271       32.834876          629      
      7.00          5.016308         39927             4               4              8162            8531         95.336052        5.874772       643.925565      510.325242      21.953158       12.061545          608      
      7.00          5.016308         39927             4               1              114              87           9.243761        1.474772       63.660478        0.000000        9.243761        1.474772           32      
      7.10          5.016308         40007             3               3              8223            8268         95.044672        6.080598       652.850547      523.502095      21.057077       12.306349          620      
      7.20          5.016308         39953             2               2              7639            7954         93.796244        6.048150       637.116464      520.908458      19.306165       11.744139          547      
      7.30          5.016308         39997             2               2              8124            8051         90.255129       13.367544       637.456962      502.689457      16.525291       18.734154          572      
      7.40          5.016308         39939             4               4              8346            8425         95.364174        6.769728       673.477964      497.632784      22.381875       12.177097          605      
      7.50          5.016308         39847             1               1              8292            8118         82.809300       25.553245       517.306274      495.026867       9.279414       30.410647          594      
      7.50          5.016308         39847             1               2               89              74          73.296902       42.809242       577.734986       0.000000       73.296902       42.809242           28      
      7.60          5.016308         39883             1               1              7878            7812         94.549396        5.266571       645.557066      497.740334      20.074235       10.761594          570      
      7.70          5.016308         39888             1               1              8075            8010         95.754527        5.724023       652.275239      496.285623      21.441777       11.185581          604      
      7.80          5.016308         40039             1               1              7753            7632         94.045345        5.486807       649.090989      504.965799      18.991292       11.617513          552      
      7.90          5.016308         40062             2               2              7821            8042         94.556388        4.196470       646.780111      505.427424      20.017994       10.425211          571      
      8.00          5.016308         39964             2               2              8033            7986         94.429990        5.802481       635.452523      498.176328      20.110535       12.327530          571      
      8.10          5.016308         39978             2               2              7787            8070         93.982228        5.591508       643.080371      500.589475      19.659700       11.243738          561      
      8.20          5.016308         40018             3               3              8389            8181         95.663802        6.237616       689.284820      504.937201      21.911069       12.505990          611      
      8.30          5.016308         40050             4               4              8846            8661         97.638894        8.204638       710.780790      513.588041      24.721734       15.016323          671      
      8.30          5.016308         40050             4               1               52              52           6.240169        2.317988       48.052959        0.000000        6.240169        2.317988           15      
      8.40          5.016308         40009             2               2              8310            8282         97.051751        8.805588       702.863722      506.027130      23.274371       15.338387          629      
      8.40          5.016308         40009             2               8               59              54           8.783088        3.435050       65.732459        0.000000        8.783088        3.435050           17      
      8.50          5.016308         39890             4               4              8524            8431         94.596899        5.918672       659.981924      506.696967      21.612338       11.621172          609      
      8.50          5.016308         39890             4               5               63              80           5.365609        1.411935       36.228527        0.000000        5.365609        1.411935           19      
      8.50          5.016308         39890             4               6               62              56           7.993900        4.163347       64.011683        0.000000        7.993900        4.163347           22      
      8.60          5.016308         39799             2               2              8491            8395         95.067252        5.682360       688.210788      506.782808      22.014077       12.106944          609      
      8.60          5.016308         39799             2               3               80             100           6.539242        2.302477       46.607811        0.000000        6.539242        2.302477           24      
      8.70          5.016308         39715             1               1              8092            7955         95.221789        5.301845       671.586346      505.622816      20.991270       11.728829          603      
      8.80          5.016308         39767             2               2              8512            8176         95.800654        5.490726       707.107824      509.206909      22.457734       12.220848          621      
      8.80          5.016308         39767             2               3              104              91          72.609803       37.761573       602.570433       0.000000       72.609803       37.761573           28      
      8.90          5.016308         39685             2               2              9028            8512         98.680667        9.651760       800.899195      506.536264      25.895615       15.632992          687      
      9.00          5.016308         39598             1               1              8527            8495         96.303272       26.261040      1215.377096      495.555330      23.383389       31.763788          618      
      9.10          5.016308         39624             2               2              8260            8235         95.158538        6.396559       661.281938      504.414600      21.613692       12.222159          599      
      9.10          5.016308         39624             2               4               81              63           9.700418        3.111423       72.343605        0.000000        9.700418        3.111423           23      
      9.20          5.016308         39792             1               1              8164            8515         96.594455        5.943602       666.712179      503.994612      22.816129       11.742012          633      
      9.30          5.016308         39801             3               3              8016            8467         94.953977        6.060609       646.413984      507.459296      21.240798       12.788689          596      
      9.40          5.016308         39823             2               2              7984            7842         94.787619        7.448359       669.107565      510.001676      20.302073       13.571877          575      
      9.50          5.016308         39866             3               3              8807            8392         97.603201        8.045286       696.303975      507.484031      24.571027       14.935303          659      
      9.60          5.016308         39737             2               2              8944            8541         97.753606        8.595810       726.107259      518.091501      25.044649       16.259572          665      
      9.70          5.016308         39718             2               2              8328            8298         94.760158        7.205817       660.121914      522.253534      21.181909       15.403769          607      
      9.70          5.016308         39718             2               1               82              65          70.349441       40.923493       582.257338       0.000000       70.349441       40.923493           22      
      9.80          5.016308         39739             2               2              8806            8760         97.694243        9.096237       754.751099      511.278650      25.392548       17.571753          669      
      9.80          5.016308         39739             2               1               99              64          10.153548        2.096245       73.219301        0.000000       10.153548        2.096245           25      
      9.90          5.016308         39698             2               2              8565            8616         95.033763        7.628839       653.804327      503.569292      22.940681       15.519850          610      
      9.90          5.016308         39698             2               1               65              49           7.733955        2.088475       52.844685        0.000000        7.733955        2.088475           18      
